,path,source_article,target_article,human_path_length,shortest_path_length,is_successful,path_seq_cosine_sim,path_target_cosine_sim,path_seq_boolean,path_target_boolean,seq_strictly_increasing,target_strictly_increasing
163,Ant;Earth;United_States;George_W._Bush;Hurricane_Katrina,Ant,Hurricane_Katrina,4,3,1,"[0.016811791565035185, 0.08151216872548508, 0.1930673709043758, 0.13364428350725657]","[0.011999396567136809, 0.040648571580549686, 0.14400007642323395, 0.13364428350725657, 0.9999999999999983]","[True, True, False]","[True, True, False, True]",False,False
9241,Toy_Story;Eagle;Bird;Plant;Photosynthesis,Toy_Story,Photosynthesis,4,3,1,"[0.009897655053828369, 0.0384551652659387, 0.05005775345644978, 0.2866644457646204]","[0.006103892216048997, 0.0043669356953072135, 0.021036453762702394, 0.2866644457646204, 1.0000000000000004]","[True, True, True]","[False, True, True, True]",True,False
9948,Gorilla;Human;Music;Ludwig_van_Beethoven;Opera,Gorilla,Opera,4,3,1,"[0.07764384693247299, 0.09127074008862189, 0.14202800453517506, 0.0801032639255057]","[0.009592898653039503, 0.04090399531485311, 0.11617353279285127, 0.0801032639255057, 0.9999999999999996]","[True, True, False]","[True, True, False, True]",False,False
2180,Propaganda;United_States;Pacific_Ocean;Water;Whale,Propaganda,Whale,4,3,1,"[0.10848560465607641, 0.2503113455256296, 0.06643941719695959, 0.053872736971894215]","[0.022310987906382578, 0.04467907437545847, 0.023371083986715138, 0.053872736971894215, 1.0000000000000022]","[True, False, False]","[True, False, True, True]",False,False
14354,Mahjong;Asia;Japan;Nintendo;Nintendo_Entertainment_System,Mahjong,Nintendo_Entertainment_System,4,3,1,"[0.03105313703464476, 0.20636543982416286, 0.09135706186925696, 0.6009771802358846]","[0.03764525261273323, 0.01865986922103557, 0.052434482003322944, 0.6009771802358846, 0.9999999999999968]","[True, False, True]","[False, True, True, True]",False,False
4044,Asteroid;Earth;Norse_mythology;Norway;Viking,Asteroid,Viking,4,3,1,"[0.1618323538204031, 0.06377204397706032, 0.05759124479274737, 0.07927414118969268]","[0.012289411951835442, 0.022808198571852872, 0.11376638935732977, 0.07927414118969268, 1.0000000000000009]","[False, False, True]","[True, True, False, True]",False,False
4091,Asteroid;Carl_Friedrich_Gauss;Denmark;Baltic_Sea;Viking,Asteroid,Viking,4,3,1,"[0.056976596230369735, 0.019275301446931133, 0.1767976461563236, 0.08999466422271048]","[0.012289411951835442, 0.01199379786363976, 0.130823937394943, 0.08999466422271048, 1.0000000000000009]","[False, True, False]","[False, True, False, True]",False,False
1147,Computer_programming;Linguistics;Language;Communication;Writing,Computer_programming,Writing,4,3,1,"[0.14662239910475905, 0.38149890472005765, 0.28685451158153075, 0.0589700223574982]","[0.08720019954693112, 0.1081705979891751, 0.1630893759999128, 0.0589700223574982, 1.0000000000000004]","[True, False, False]","[True, True, False, True]",False,False
12958,Elementary_arithmetic;Computer;Television;Film;Animation,Elementary_arithmetic,Animation,4,3,1,"[0.032237115350777716, 0.11320529242544901, 0.1588482733601337, 0.3288786045253524]","[0.003675832377998025, 0.07008282465954878, 0.03781422526202491, 0.3288786045253524, 1.0000000000000007]","[True, True, True]","[True, False, True, True]",True,False
3845,Asteroid;Carl_Friedrich_Gauss;Latin;Roman_Catholic_Church;Viking,Asteroid,Viking,4,3,1,"[0.056976596230369735, 0.01745362299804995, 0.09268468903303201, 0.03126262469102144]","[0.012289411951835442, 0.01199379786363976, 0.04289873699773358, 0.03126262469102144, 1.0000000000000009]","[False, True, False]","[False, True, False, True]",False,False
4863,Brain;Computer_science;Internet;World_Wide_Web;Telephone,Brain,Telephone,4,3,1,"[0.04916586828560618, 0.09915001996411385, 0.3934715901446399, 0.02893915596106854]","[0.01987493081672035, 0.024968341253746362, 0.15723045446149922, 0.02893915596106854, 1.0000000000000009]","[True, True, False]","[True, True, False, True]",False,False
15305,Poor_Law;England;Europe;Africa;Sierra_Leone,Poor_Law,Sierra_Leone,4,3,1,"[0.06804284389869229, 0.1743883890099941, 0.20733258691597292, 0.11142188663177144]","[0.01538023253923358, 0.05433411497002687, 0.04222738513983204, 0.11142188663177144, 0.9999999999999986]","[True, True, False]","[True, False, True, True]",False,False
3882,Asteroid;1_Ceres;Eris_%28dwarf_planet%29;Spain;Viking,Asteroid,Viking,4,3,1,"[0.3261357032362805, 0.18011387137439364, 0.021499959953140708, 0.06898092236313941]","[0.012289411951835442, 0.0068703909119998555, 0.008486733444305916, 0.06898092236313941, 1.0000000000000009]","[False, False, True]","[False, True, True, True]",False,False
11708,Assyria;Egypt;Middle_East;United_States;New_York_City,Assyria,New_York_City,4,3,1,"[0.0796733587684165, 0.18706310754734526, 0.15092532280258622, 0.2995141369132943]","[0.04810390911442641, 0.09219979978872586, 0.07078291505808884, 0.2995141369132943, 0.9999999999999997]","[True, False, True]","[True, False, True, True]",False,False
14177,Lawn;Europe;Asia;Indonesia;Krakatoa,Lawn,Krakatoa,4,3,1,"[0.033043380870149915, 0.2653510571326668, 0.15427716285268375, 0.09195582045303474]","[0.01391823044072363, 0.03410950213844872, 0.027079389969618693, 0.09195582045303474, 0.9999999999999998]","[True, False, False]","[True, False, True, True]",False,False
7437,Thorax;Human;International_Space_Station;Russia;Sputnik_1,Thorax,Sputnik_1,4,3,1,"[0.030389809585603923, 0.04182393823101112, 0.10235887665628655, 0.07027069562116826]","[0.003414894475695457, 0.030336074875672747, 0.07589001458493079, 0.07027069562116826, 1.0000000000000013]","[True, True, False]","[True, True, False, True]",False,False
4343,GNU;Linus_Torvalds;Moscow;Russia;Amur,GNU,Amur,4,3,1,"[0.33247839839822835, 0.021636191846261275, 0.3151862797560848, 0.16791365029293354]","[0.004721942734553701, 0.0032537346044832017, 0.0524967825706361, 0.16791365029293354, 1.0000000000000002]","[False, True, False]","[False, True, True, True]",False,False
9967,Iron_Maiden;England;10th_century;Maya_civilization;Civilization,Iron_Maiden,Civilization,4,3,1,"[0.042362989479309, 0.05209580791545932, 0.10787043740077769, 0.15557158270441526]","[0.021548018789631685, 0.0703358363430871, 0.0609069103196717, 0.15557158270441526, 0.9999999999999989]","[True, True, True]","[True, False, True, True]",True,False
1714,Internet;Asia;North_America;Mexico;Tijuana,Internet,Tijuana,4,3,1,"[0.028666703418599632, 0.13175347397935877, 0.2665572512131032, 0.17777888115087523]","[0.019389993175927406, 0.017003420378118167, 0.05772032321451121, 0.17777888115087523, 1.0000000000000013]","[True, True, False]","[False, True, True, True]",False,False
3841,Asteroid;Sun;England;10th_century;Viking,Asteroid,Viking,4,3,1,"[0.11993167092839359, 0.02850302728374232, 0.05209580791545932, 0.0802639599707561]","[0.012289411951835442, 0.013700282586267822, 0.12779839139543517, 0.0802639599707561, 1.0000000000000009]","[False, True, True]","[True, True, False, True]",False,False
5674,Tin;Germanium;Germany;Karl_Marx;Political_philosophy,Tin,Political_philosophy,4,3,1,"[0.10866871159588026, 0.018871287789905898, 0.08052548655628937, 0.23075819904168385]","[0.0090145067049536, 0.008593908821369373, 0.11350366615846771, 0.23075819904168385, 1.0000000000000013]","[False, True, True]","[False, True, True, True]",False,False
13380,Greco-Buddhism;Himalayas;Cretaceous;North_America;Rocky_Mountains,Greco-Buddhism,Rocky_Mountains,4,3,1,"[0.062308212042418, 0.03535899598521041, 0.05043733057455251, 0.10395899460196834]","[0.017003985268400624, 0.10578609512269108, 0.04003705041380919, 0.10395899460196834, 0.9999999999999999]","[False, True, True]","[True, False, True, True]",False,False
5168,Brain;Animal;Human;Communication;Telephone,Brain,Telephone,4,3,1,"[0.054012050504966345, 0.07953121692482294, 0.11913196655893389, 0.06632914254902358]","[0.01987493081672035, 0.014789375884475014, 0.02916966508991262, 0.06632914254902358, 1.0000000000000009]","[True, True, False]","[False, True, True, True]",False,False
564,Batman;Scotland;Agriculture;Fossil_fuel;Wood,Batman,Wood,4,3,1,"[0.00982469648640849, 0.03521380311590698, 0.06934377730392101, 0.027329887064186476]","[0.007004201505419259, 0.013353649448705495, 0.0355263652021014, 0.027329887064186476, 1.0000000000000022]","[True, True, False]","[True, True, False, True]",False,False
9025,Common_Eland;Southern_Africa;Continent;South_America;Amazon_Rainforest,Common_Eland,Amazon_Rainforest,4,3,1,"[0.030697795052309795, 0.14597168651536466, 0.24476322788409577, 0.1455072934944573]","[0.012581094461777475, 0.03400317841326069, 0.031111778233354866, 0.1455072934944573, 1.0000000000000013]","[True, True, False]","[True, False, True, True]",False,False
2564,Vietnam_War;Communism;Manchester;Christianity;Anglicanism,Vietnam_War,Anglicanism,4,3,1,"[0.11709884496307729, 0.02682081555996401, 0.0232712042656997, 0.3424404725894288]","[0.028979513632811826, 0.0411605606216456, 0.023987082142187522, 0.3424404725894288, 1.0000000000000009]","[False, False, True]","[True, False, True, True]",False,False
5543,Deity;Earth;Geography;Geology;Magma,Deity,Magma,4,3,1,"[0.04859523318892097, 0.2127093930373146, 0.10004583236602724, 0.11438549963243722]","[0.009111293199507459, 0.09358683604060446, 0.020591487886617774, 0.11438549963243722, 1.000000000000002]","[True, False, True]","[True, False, True, True]",False,False
2629,Wikipedia;Internet;Copper;Periodic_table;Magnesium,Wikipedia,Magnesium,4,3,1,"[0.13457805489832475, 0.02548344196816953, 0.054452818996942445, 0.08071617948126895]","[0.015768929569117573, 0.011986016433023649, 0.059002804345184075, 0.08071617948126895, 1.0000000000000009]","[False, True, True]","[False, True, True, True]",False,False
11512,Alligator;United_States;North_America;Canada;Canadian_Charter_of_Rights_and_Freedoms,Alligator,Canadian_Charter_of_Rights_and_Freedoms,4,3,1,"[0.054029724433850394, 0.3308730019703287, 0.19770608054487004, 0.2698689299583445]","[0.005034455323748811, 0.11870325300492816, 0.04119687670695863, 0.2698689299583445, 1.000000000000002]","[True, False, True]","[True, False, True, True]",False,False
2950,Zirconium;Arabic_language;Hebrew_language;Judaism;Hebrew_calendar,Zirconium,Hebrew_calendar,4,3,1,"[0.012944041128192954, 0.18011825595122652, 0.18464121318550017, 0.18098906689621114]","[0.013812992208035882, 0.01748135280361439, 0.268375300408144, 0.18098906689621114, 1.0000000000000004]","[True, True, False]","[True, True, False, True]",False,False
19842,Natalie_Portman;United_States;Latin;Science;Nature,Natalie_Portman,Natural_selection,4,3,0,"[0.04545295765322214, 0.08172264639209122, 0.06425253347344415, 0.14124730223823503]","[0.021077935462229955, 0.10119110645278044, 0.05686989568102256, 0.14124730223823503, 1.0000000000000002]","[True, False, True]","[True, False, True, True]",False,False
19087,Pyramid;Mexico_City;Aztec;Maize;Mexico,Pyramid,Bean,4,3,0,"[0.03531183748653453, 0.2344055733299781, 0.03645783471403463, 0.053258603892385036]","[0.038694230531195195, 0.6098897813562851, 0.23364059901234052, 0.053258603892385036, 1.0000000000000029]","[True, False, True]","[True, False, False, True]",False,False
6048,Finance;Money;Currency;List_of_circulating_currencies;Bolivia,Finance,Bolivia,4,3,1,"[0.11844946839006933, 0.5003153845274924, 0.05050248182746057, 0.02433575885159577]","[0.03203235355410893, 0.04889895080679643, 0.04625216256121796, 0.02433575885159577, 0.9999999999999979]","[True, False, False]","[True, False, False, True]",False,False
15625,Russian_constitutional_crisis_of_1993;Food;Vitamin_C;Lemon;Fruit,Russian_constitutional_crisis_of_1993,Fruit,4,3,1,"[0.013877565956200894, 0.12394379015945792, 0.09951801605484353, 0.12620892777647713]","[0.0035089547578160754, 0.03164271741857259, 0.02507363758587856, 0.12620892777647713, 1.0000000000000016]","[True, False, True]","[True, False, True, True]",False,False
17119,Woodpecker;United_States;World_War_II;Battle_of_Stalingrad;Propaganda,Woodpecker,Propaganda,4,3,1,"[0.006077999340952384, 0.24978762959933554, 0.5306475493829945, 0.10860813473203185]","[0.0031332890914662023, 0.10848560465607641, 0.11996630423433179, 0.10860813473203185, 1.0000000000000004]","[True, True, False]","[True, True, False, True]",False,False
4142,Asteroid;Earth;Europe;Norway;Viking,Asteroid,Viking,4,3,1,"[0.1618323538204031, 0.08556400889779398, 0.1791268735749762, 0.07927414118969268]","[0.012289411951835442, 0.022808198571852872, 0.09356618772248869, 0.07927414118969268, 1.0000000000000009]","[False, True, False]","[True, True, False, True]",False,False
18805,Pyramid;Mexico;Agriculture;Soybean;Protein,Pyramid,Bean,4,3,0,"[0.038694230531195195, 0.04718696447786333, 0.08863259997392563, 0.23430985693802717]","[0.025188749862140997, 0.012853262882375803, 0.03259217699436851, 0.23430985693802717, 0.9999999999999993]","[True, True, True]","[False, True, True, True]",True,False
8257,Alan_Turing;University_of_Texas_at_Austin;Dallas%2C_Texas;International_Space_Station;Space_Shuttle_Endeavour,Alan_Turing,Space_Shuttle_Endeavour,4,3,1,"[0.03978294888315889, 0.16340133098888573, 0.01797884293980889, 0.39181980640783454]","[0.005319307277989853, 0.020205246044460095, 0.013482479601482808, 0.39181980640783454, 1.000000000000002]","[True, False, True]","[True, False, True, True]",False,False
2140,Physics;Chemistry;Periodic_table;Phosphorus;Phosphorus_trichloride,Physics,Phosphorus_trichloride,4,3,1,"[0.24569986520417542, 0.22399737325706182, 0.06659074101990231, 0.35999166041361536]","[0.01405402390723613, 0.05868805586931585, 0.03350817174801535, 0.35999166041361536, 1.0000000000000013]","[False, False, True]","[True, False, True, True]",False,False
4902,Brain;Computer_science;Internet;World_Wide_Web;Telephone,Brain,Telephone,4,3,1,"[0.04916586828560618, 0.09915001996411385, 0.3934715901446399, 0.02893915596106854]","[0.01987493081672035, 0.024968341253746362, 0.15723045446149922, 0.02893915596106854, 1.0000000000000009]","[True, True, False]","[True, True, False, True]",False,False
2433,The_Godfather;United_States;Atlantic_Ocean;Earth;Universe,The_Godfather,Universe,4,3,1,"[0.047805724050463634, 0.1937470081230291, 0.11745943188759822, 0.0734355421366293]","[0.009090554541955218, 0.032475679400788396, 0.014662978851278275, 0.0734355421366293, 1.000000000000002]","[True, False, False]","[True, False, True, True]",False,False
20450,Achilles;Trojan_War;Athena;Athens;Greece,Achilles,Corinthian_War,4,3,0,"[0.5444507169967047, 0.1793286532570657, 0.1161929979399396, 0.233789877439601]","[0.029786564091642324, 0.07213576805778955, 0.06866702400794515, 0.233789877439601, 1.0000000000000022]","[False, False, True]","[True, False, True, True]",False,False
9268,Action_potential;Multiple_sclerosis;Stroke;Brain;Alzheimer%27s_disease,Action_potential,Alzheimer's disease,4,3,1,"[0.043780948852218476, 0.12403831839939895, 0.2444942394912794, 0.1312636764897867]","[0.021684522107747014, 0.13303807649565705, 0.1240212963499911, 0.1312636764897867, 1.0000000000000018]","[True, True, False]","[True, False, True, True]",False,False
18230,Insulin;Human;Agriculture;Fruit;Cereal,Insulin,Sichuan_Pepper,4,3,0,"[0.04113871328190671, 0.1084998007985389, 0.08489266397251435, 0.06655355970398164]","[0.016371401280197727, 0.05531564003937554, 0.23105458593922865, 0.06655355970398164, 1.0000000000000013]","[True, False, False]","[True, True, False, True]",False,False
16321,Theatre;Dance;Animal;Mammal;Zebra,Theatre,Zebra,4,3,1,"[0.1309595713347672, 0.013040777138701852, 0.0724197183196405, 0.02639381305403988]","[0.003615741833142461, 0.002698358304444707, 0.014429096082751143, 0.02639381305403988, 0.9999999999999984]","[False, True, False]","[False, True, True, True]",False,False
10856,Heracles;Japan;People%27s_Republic_of_China;Qin_Dynasty;Great_Wall_of_China,Heracles,Great_Wall_of_China,4,3,1,"[0.01263166625779388, 0.18886609287576572, 0.11650909882224852, 0.14907909827984253]","[0.012401519981108914, 0.041201539899379615, 0.1714205709902804, 0.14907909827984253, 1.0000000000000016]","[True, False, True]","[True, True, False, True]",False,False
1216,Dog;DNA;Bacteria;Wine;Beer,Dog,Beer,4,3,1,"[0.03573550114028733, 0.10612328027302614, 0.02060147560234012, 0.08038994607392921]","[0.020001254455541368, 0.010212993578511777, 0.022742277426172318, 0.08038994607392921, 0.9999999999999979]","[True, False, True]","[False, True, True, True]",False,False
12738,Decade_Volcanoes;Water;Hydrogen;Periodic_table;Aluminium,Decade_Volcanoes,Aluminium,4,3,1,"[0.028127098222358957, 0.16261621385389718, 0.17022968363641197, 0.06864427152115465]","[0.007808206134851905, 0.06656976678485356, 0.1035641327094086, 0.06864427152115465, 1.000000000000002]","[True, True, False]","[True, True, False, True]",False,False
3262,Organism;Life;Earth;Arabic_language;Saudi_Arabia,Organism,Saudi_Arabia,4,3,1,"[0.4051279705994851, 0.11242919109362037, 0.033669700420501436, 0.16065365716141763]","[0.020820530320558767, 0.017953010040543536, 0.03291697247965772, 0.16065365716141763, 0.9999999999999979]","[False, False, True]","[False, True, True, True]",False,False
13821,Ivory-billed_Woodpecker;Cuba;South_America;Africa;Bantu,Ivory-billed_Woodpecker,Bantu,4,3,1,"[0.025972503417031077, 0.0784279241096461, 0.180051177407022, 0.33394778865236213]","[0.018998148827868655, 0.017911484348550125, 0.08871665381574974, 0.33394778865236213, 0.9999999999999976]","[True, True, True]","[False, True, True, True]",True,False
2008,Music;University;Astronomy;Chemistry;Periodic_table,Music,Periodic_table,4,3,1,"[0.04647593329425367, 0.019096108299591397, 0.07654405230433045, 0.22399737325706182]","[0.028914468800236008, 0.01071069034771396, 0.05162685469350775, 0.22399737325706182, 1.0000000000000002]","[False, True, True]","[False, True, True, True]",False,False
15853,Snowdonia;Agriculture;Sumer;Israel;Gaza_Strip,Snowdonia,Gaza_Strip,4,3,1,"[0.024670679521827648, 0.09580034016110958, 0.03643261401671819, 0.4472165049439394]","[0.01445380123437493, 0.04055711399058941, 0.02029943140883249, 0.4472165049439394, 0.9999999999999989]","[True, False, True]","[True, False, True, True]",False,False
4724,Brain;Animal;Human;Communication;Telephone,Brain,Telephone,4,3,1,"[0.054012050504966345, 0.07953121692482294, 0.11913196655893389, 0.06632914254902358]","[0.01987493081672035, 0.014789375884475014, 0.02916966508991262, 0.06632914254902358, 1.0000000000000009]","[True, True, False]","[False, True, True, True]",False,False
18507,Glasses;China;Basketball;Canada;Beaver,Glasses,Poultry,4,3,0,"[0.020138342386088463, 0.030366262065449057, 0.04867696964228985, 0.05319522074719231]","[0.010573351925204673, 0.01709133641854849, 0.014785409433746361, 0.05319522074719231, 0.9999999999999996]","[True, True, True]","[True, False, True, True]",True,False
1892,Love;Mammal;Vertebrate;Reptile;Alligator,Love,Alligator,4,3,1,"[0.013111033768121385, 0.12828326186147, 0.14256469643582184, 0.10559311262016662]","[0.006165428275397669, 0.02367963505548672, 0.017910335797414124, 0.10559311262016662, 1.000000000000001]","[True, True, False]","[True, False, True, True]",False,False
8446,Abraham_Lincoln;United_States_Constitution;Slavery;Arabic_language;6th_century,Abraham_Lincoln,6th_century,4,3,1,"[0.07902095604399427, 0.06896573610588112, 0.026473872050825402, 0.010615577426934527]","[0.007231671884133064, 0.011833423642534799, 0.016535816700641453, 0.010615577426934527, 1.0000000000000004]","[False, False, False]","[True, True, False, True]",False,False
14570,Molybdenum;Animal;Mammal;Milk;Cattle,Molybdenum,Cattle,4,3,1,"[0.023645805649012766, 0.0724197183196405, 0.04137922818640924, 0.12375325059940365]","[0.012368928361933882, 0.04393188372321842, 0.03243706782165411, 0.12375325059940365, 1.0000000000000033]","[True, False, True]","[True, False, True, True]",False,False
19084,Theatre;Stage_%28theatre%29;Opera;Renaissance;Renaissance_music,Theatre,Zebra,4,3,0,"[0.21253257284335733, 0.03713030348940531, 0.07273517938955035, 0.3339347776823169]","[0.0595620405905642, 0.015356560773594026, 0.15100075950908395, 0.3339347776823169, 1.0000000000000009]","[False, True, True]","[False, True, True, True]",False,False
12838,Dundee_United_F.C.;Europe;Paris;World_War_I;League_of_Nations,Dundee_United_F.C.,League_of_Nations,4,3,1,"[0.05574075530771581, 0.08519545904191023, 0.10285982859768883, 0.1911736840162296]","[0.12133770094263446, 0.09775316991183745, 0.057042103298773864, 0.1911736840162296, 0.9999999999999993]","[True, True, True]","[False, False, True, True]",True,False
10752,Irrigation;Tank;English_Channel;Portsmouth;Hovercraft,Irrigation,Hovercraft,4,3,1,"[0.038623993570195504, 0.019652797150297215, 0.07811134439334529, 0.037114597411717784]","[0.021272546061648672, 0.05197862211763473, 0.0885892379101878, 0.037114597411717784, 1.0000000000000024]","[False, True, False]","[True, True, False, True]",False,False
15840,Slavic_mythology;God;Buddhism;China;Great_Wall_of_China,Slavic_mythology,Great_Wall_of_China,4,3,1,"[0.1851608105672395, 0.0929500157741199, 0.13359497114847932, 0.21389305199102182]","[0.02293659556127916, 0.020745531546474304, 0.038106271854753675, 0.21389305199102182, 1.0000000000000016]","[False, True, True]","[False, True, True, True]",False,False
11962,Bedbug;Human;United_Nations;Geneva;World_Trade_Organization,Bedbug,World_Trade_Organization,4,3,1,"[0.05456137402437413, 0.15486877526247914, 0.11024784985657005, 0.07845141372109053]","[0.01296833824244773, 0.06211327909973699, 0.183606355491214, 0.07845141372109053, 1.0000000000000007]","[True, False, False]","[True, True, False, True]",False,False
17691,Brain;Cell_%28biology%29;Microscope;Wave;Sound,Brain,Telephone,4,3,0,"[0.05426177373519288, 0.03953104060199052, 0.045107980157055416, 0.2098639858608206]","[0.024832364057993266, 0.02303960544251757, 0.025367048525379767, 0.2098639858608206, 1.0000000000000007]","[False, True, True]","[False, True, True, True]",False,False
15806,Silver;United_States;U.S._state;Columbus%2C_Ohio;Cleveland%2C_Ohio,Silver,"Cleveland, Ohio",4,3,1,"[0.054784210789651656, 0.44841659139115103, 0.12007906450246651, 0.19266783291789877]","[0.016119942786090635, 0.10582756246296607, 0.07539003601403803, 0.19266783291789877, 1.0]","[True, False, True]","[True, False, True, True]",False,False
10466,House_of_Lords;Manchester;Industrial_Revolution;Trade_union;Employment,House_of_Lords,Employment,4,3,1,"[0.026592620875400194, 0.0735872047434058, 0.16658171521629825, 0.23055758875717258]","[0.017604477416157168, 0.013480419213807038, 0.0736512932457923, 0.23055758875717258, 1.0]","[True, True, True]","[False, True, True, True]",True,False
15871,Society_of_Merchant_Venturers;North_America;United_States;United_States_House_of_Representatives;Speaker_of_the_United_States_House_of_Representatives,Society_of_Merchant_Venturers,Speaker_of_the_United_States_House_of_Representatives,4,3,1,"[0.04355259912772805, 0.3308730019703287, 0.19630185401042127, 0.5041047233734894]","[0.024969249705769102, 0.017835031491523757, 0.09296709114106162, 0.5041047233734894, 1.000000000000002]","[True, False, True]","[False, True, True, True]",False,False
5020,Brain;Cell_%28biology%29;Energy;Computer;Telephone,Brain,Telephone,4,3,1,"[0.05426177373519288, 0.06088176987088537, 0.03368535997930785, 0.05165148359785569]","[0.01987493081672035, 0.08654242152480635, 0.01963095595394569, 0.05165148359785569, 1.0000000000000009]","[True, False, True]","[True, False, True, True]",False,False
58,Agriculture;Rice;China;People%27s_Republic_of_China;Mao_Zedong,Agriculture,Mao_Zedong,4,3,1,"[0.1269641911946542, 0.05108988342540187, 0.6813834030398858, 0.25137734397426453]","[0.02032381669064484, 0.01532130740070544, 0.16168372624366778, 0.25137734397426453, 0.9999999999999991]","[False, True, False]","[False, True, True, True]",False,False
1518,French_Revolution;Roman_Catholic_Church;Genetics;The_Origin_of_Species;Creation-evolution_controversy,French_Revolution,Creation-evolution_controversy,4,3,1,"[0.10213784529683416, 0.02340587311534202, 0.07678369641970029, 0.20397854689021347]","[0.02557307834328747, 0.07706310126767937, 0.03921158981589642, 0.20397854689021347, 1.0000000000000002]","[False, True, True]","[True, False, True, True]",False,False
6572,Telephone;Great_Britain;Scotland;Edinburgh;Sean_Connery,Telephone,Sean_Connery,4,3,1,"[0.019438156040636964, 0.21794052944741307, 0.3323042283369821, 0.0698783189567448]","[0.006677945242034034, 0.02507336313388305, 0.08847510700037581, 0.0698783189567448, 1.0000000000000002]","[True, True, False]","[True, True, False, True]",False,False
16593,Theatre;Dance;Animal;Mammal;Zebra,Theatre,Zebra,4,3,1,"[0.1309595713347672, 0.013040777138701852, 0.0724197183196405, 0.02639381305403988]","[0.003615741833142461, 0.002698358304444707, 0.014429096082751143, 0.02639381305403988, 0.9999999999999984]","[False, True, False]","[False, True, True, True]",False,False
16236,The_Beatles_discography;United_States;Atlantic_Ocean;Argentina;Buenos_Aires,The_Beatles_discography,Buenos_Aires,4,3,1,"[0.036517588538276004, 0.1937470081230291, 0.11275586785339013, 0.5650108808766698]","[0.00998701612744241, 0.08077984899916389, 0.034377203443130465, 0.5650108808766698, 1.0000000000000044]","[True, False, True]","[True, False, True, True]",False,False
17077,William_III_of_England;England;Olympic_Games;World_War_I;Woodrow_Wilson,William_III_of_England,Woodrow_Wilson,4,3,1,"[0.23475866428391876, 0.08822278457629865, 0.06594583791564604, 0.2036390041091645]","[0.061430935185362565, 0.050537234116095196, 0.03561379833549548, 0.2036390041091645, 1.0000000000000029]","[False, False, True]","[False, False, True, True]",False,False
16375,Theatre;United_Kingdom;Earth;Mammal;Zebra,Theatre,Zebra,4,3,1,"[0.05274342217704193, 0.055254973122000665, 0.038100492630967035, 0.02639381305403988]","[0.003615741833142461, 0.011883267251390174, 0.006800838616234963, 0.02639381305403988, 0.9999999999999984]","[True, False, False]","[True, False, True, True]",False,False
7895,Star_Wars;California;United_States;Chicago;Great_Lakes,Star_Wars,Great_Lakes,4,3,1,"[0.020127913190452984, 0.21403081917738626, 0.15332354963366376, 0.08929501619074774]","[0.01669208561712851, 0.05658618649232441, 0.13497733312301355, 0.08929501619074774, 1.000000000000002]","[True, False, False]","[True, True, False, True]",False,False
2960,Old_English_language;12th_century;Time;Internet;World_Wide_Web,Old_English_language,World_Wide_Web,4,3,1,"[0.024955466448428568, 0.041243581578319706, 0.04617797811052412, 0.3934715901446399]","[0.025894652114793894, 0.002692116005042401, 0.03260860795200342, 0.3934715901446399, 1.000000000000002]","[True, True, True]","[False, True, True, True]",True,False
20115,The_Magic_Flute;North_America;Oregon;Rainforest;Carbon_dioxide,The_Magic_Flute,Tree,4,3,0,"[0.009664425400444472, 0.06607821919332675, 0.0396689819854398, 0.08511012910606167]","[0.004204067060124696, 0.015266406839853114, 0.012799298065619415, 0.08511012910606167, 1.0000000000000027]","[True, False, True]","[True, False, True, True]",False,False
20006,Brain;Computer_science;Internet;Copper;China,Brain,Telephone,4,3,0,"[0.04916586828560618, 0.09915001996411385, 0.02548344196816953, 0.026416323506555733]","[0.01600642663693284, 0.018605783300366902, 0.03427855279790755, 0.026416323506555733, 1.0000000000000013]","[True, False, True]","[True, True, False, True]",False,False
19872,Black_hole;Isaac_Newton;England;10th_century;Time,Black_hole,2nd_century,4,3,0,"[0.03496687573775433, 0.05247625798232588, 0.05209580791545932, 0.03268003314493787]","[0.08624764323162415, 0.10410722262147996, 0.06044397485374115, 0.03268003314493787, 1.0000000000000002]","[True, False, False]","[True, False, False, True]",False,False
14460,Maya_mythology;Venus;Carbon_dioxide;Carbon;Electron,Maya_mythology,Electron,4,3,1,"[0.028189556941775808, 0.0825898096623488, 0.47113356767161596, 0.03895984650668144]","[0.004735728490226229, 0.020056848441425894, 0.019887014512097, 0.03895984650668144, 1.0000000000000013]","[True, True, False]","[True, False, True, True]",False,False
20612,George_IV_of_the_United_Kingdom;London;England;Culture;Romanticism,George_IV_of_the_United_Kingdom,Chocolate,4,3,0,"[0.07204646235506695, 0.2820032973974934, 0.09318770266113367, 0.09629599838777865]","[0.03582814369985568, 0.026589057875358826, 0.07124318191052365, 0.09629599838777865, 1.0000000000000029]","[True, False, True]","[False, True, True, True]",False,False
3099,Obi-Wan_Kenobi;Clone_Wars_%28Star_Wars%29;United_States;New_York_City;Fashion,Obi-Wan_Kenobi,Fashion,4,3,1,"[0.46108225150194493, 0.06411137858158991, 0.2995141369132943, 0.0367181518523915]","[0.005126954020576618, 0.008687405369431127, 0.04631136889767623, 0.0367181518523915, 0.9999999999999984]","[False, True, False]","[True, True, False, True]",False,False
