path,source_article,target_article,human_path_length,shortest_path_length,is_successful,top,center_top,center,center_bottom,bottom,count_images,path_seq_cosine_sim,path_target_cosine_sim,path_seq_boolean,path_target_boolean,seq_strictly_increasing,target_strictly_increasing,curv_feats_0,curv_feats_1,curv_feats_2,curv_feats_3,curv_feats_4,curv_feats_5,curv_feats_6,curv_feats_7,curv_feats_8,curv_feats_9,curv_feats_10,curv_feats_11,curv_feats_12,curv_feats_13,curv_feats_14,curv_feats_15,used_top,used_center_bottom,used_bottom,treatment_used_top,prop_scores_used_top,treatment_used_center_bottom,prop_scores_used_center_bottom,treatment_used_bottom,prop_scores_used_bottom
anaconda;south america;europe;united kingdom;england;london;tower bridge;london bridge,anaconda,london bridge,7,4,1,0,2,2,0,4,5,"[0.08671893609045352, 0.15978135566751014, 0.2417890222080024, 0.5659328445737464, 0.2820032973974934, 0.2161206655068462, 0.7202222861969063]","[0.012903751897003839, 0.034372735367096494, 0.02241297570376488, 0.07935392536986578, 0.09627490057639415, 0.34780896360710256, 0.7202222861969063, 1.0000000000000004]","[True, True, True, False, False, True]","[True, False, True, True, True, True, True]",False,False,7.0,-603.5714285714286,462.4124627583968,-1129.0,-973.5,-757.0,-187.5,-17.0,6.0,41.833333333333336,464.992222157174,-762.0,-51.75,125.0,199.0,650.0,0,0,1,0,0.031937714531579724,0,0.01184748222807866,1,0.02568634102906316
applied mathematics;computer science;internet;microsoft;computer;television;film;video;dvd;sony,applied mathematics,casablanca (film),9,4,0,2,4,2,2,0,5,"[0.18846050973825224, 0.09915001996411385, 0.10797815927192343, 0.11159952306717394, 0.11320529242544901, 0.1588482733601337, 0.11825428855389009, 0.26099352735507736, 0.1612785013114993]","[0.008691434451474377, 0.03907254787603274, 0.03486664369376479, 0.052423586619953666, 0.05586503165034234, 0.05662695230991434, 0.0611440322931788, 0.16612964888913614, 0.1612785013114993, 1.0000000000000018]","[False, True, True, True, True, False, True, False]","[True, False, True, True, True, True, True, False, True]",False,False,9.0,-92.0,59.44955845084133,-192.0,-136.0,-74.0,-48.0,-20.0,8.0,3.5,78.77998295433756,-94.0,-54.25,4.5,54.5,130.0,0,0,0,0,0.02978524421946438,0,0.025710125038992844,0,0.025685626497473274
"prion;cattle;canada;united states;seattle, washington;nirvana (band);kurt cobain",prion,kurt cobain,6,4,1,1,0,2,0,4,4,"[0.031374040228718314, 0.022576652255016132, 0.28943270675633215, 0.09275948927303504, 0.06888086133553036, 0.5958670133093423]","[0.0023379622753399937, 0.005734355591081894, 0.008521039842052821, 0.016171614635866985, 0.047544390277786855, 0.5958670133093423, 0.9999999999999989]","[False, True, False, False, True]","[True, True, True, True, True, True]",False,True,6.0,-454.5,608.9215877270242,-1612.0,-541.0,-208.5,-71.75,-20.0,5.0,13.8,864.8688917980575,-1000.0,-523.0,46.0,262.0,1284.0,0,0,1,0,0.046471646078522416,0,0.05646153740008504,1,0.06557841569716596
bette davis;television;broadcasting;radio;radio frequency,bette davis,radio frequency,4,4,1,1,1,2,0,1,2,"[0.04767425593084587, 0.2878967082377812, 0.4138481310118206, 0.3955137434927816]","[0.0037400174660375462, 0.08704761535724605, 0.10346251713236182, 0.3955137434927816, 1.000000000000001]","[True, True, False]","[True, True, True, True]",False,True,4.0,-93.75,67.95280224783473,-179.0,-133.25,-79.0,-39.5,-38.0,3.0,46.333333333333336,113.8522434268791,-80.0,-1.0,78.0,109.5,141.0,0,0,0,0,0.09804281691703606,0,0.08617421169268234,0,0.06557333434530613
love;philosophy;plato;democracy;alexander the great;macedon;ancient greece;roman greece;hellenistic greece;first macedonian war,love,first macedonian war,9,4,1,1,2,0,1,6,7,"[0.06731057196594163, 0.24944480211159165, 0.05558796517731325, 0.04051727204964566, 0.3776298067313552, 0.335014051192968, 0.4202743949729862, 0.46882075149384694, 0.3415342363192846]","[0.008209272281237323, 0.01656884083855572, 0.014213299484540249, 0.0228677064653295, 0.11480475515836557, 0.31999024331480597, 0.22285775060132637, 0.12929247845857636, 0.3415342363192846, 1.000000000000001]","[True, False, False, True, False, True, True, False]","[True, False, True, True, True, False, False, True, True]",False,False,9.0,-117.33333333333331,70.90486584149215,-208.0,-172.0,-120.0,-71.0,-18.0,8.0,23.75,61.07080200179835,-90.0,-0.25,40.0,54.0,101.0,0,0,1,0,0.02966227459147397,0,0.0257920334707851,1,0.02544121894483805
buddhism;sri lanka;world war ii;united states;space shuttle columbia;space shuttle columbia disaster;international space station;space shuttle program;hubble space telescope;spherical aberration;star,buddhism,roche limit,10,4,0,2,1,2,3,3,5,"[0.099626261370675, 0.05907691925864273, 0.24978762959933554, 0.0875894718363388, 0.560282118351402, 0.2529645855829925, 0.45218182050612876, 0.2947593744804007, 0.07620007136638461, 0.02625882368565165]","[0.013905031305073, 0.014851349993212038, 0.030336600428582626, 0.037822720402060486, 0.029348824220881208, 0.04835380800272017, 0.040553445208250466, 0.048854031985860455, 0.0847838635169581, 0.02625882368565165, 0.9999999999999997]","[False, True, False, True, False, True, False, False, False]","[True, True, True, False, True, False, True, True, False, True]",False,False,10.0,-325.8,528.4946756801078,-1668.0,-268.25,-79.0,-48.0,-27.0,9.0,7.333333333333333,622.2003294759655,-859.0,-52.0,-25.0,27.0,1365.0,0,0,0,0,0.017752970256697347,0,0.02205799045315599,0,0.025463125056452224
death valley national park;film;19th century;napoleon i of france,death valley national park,matilda of boulogne,3,4,0,1,0,1,0,2,3,"[0.029927002144630798, 0.027452271985336094, 0.14810994448725168]","[0.033820789947748814, 0.019791817811277486, 0.14810994448725168, 1.0000000000000013]","[False, True]","[False, True, True]",False,False,3.0,-258.6666666666667,60.302017655575455,-303.0,-293.0,-283.0,-236.5,-190.0,2.0,-46.5,94.04520189781084,-113.0,-79.75,-46.5,-13.25,20.0,0,0,1,0,0.12935664163483918,0,0.1389304793146567,1,0.11655818149256904
tao te ching;chinese language;united nations;united states;john f. kennedy,tao te ching,john f. kennedy,4,4,1,1,0,2,1,1,3,"[0.11122223589461787, 0.0745027074795268, 0.30510236928207757, 0.10302254692654826]","[0.010175675997153903, 0.010505921596407515, 0.05328674457631373, 0.10302254692654826, 0.999999999999999]","[False, True, False]","[True, True, True, True]",False,True,4.0,-629.25,697.5745479875251,-1662.0,-697.5,-364.0,-295.75,-127.0,3.0,-75.0,1306.717643563444,-1286.0,-767.5,-249.0,530.5,1310.0,0,0,0,0,0.10203390361988328,0,0.06512113191117463,0,0.11678145457823921
heraclius;muhammad;idolatry;god,heraclius,gender,3,4,0,2,0,0,0,2,2,"[0.04707858806797123, 0.054413945598894196, 0.2529364084539113]","[0.012631766530253986, 0.08545150011041966, 0.2529364084539113, 1.0000000000000018]","[True, True]","[True, True, True]",True,True,3.0,-77.0,49.38623289946298,-134.0,-92.0,-50.0,-48.5,-47.0,2.0,-42.0,63.63961030678928,-87.0,-64.5,-42.0,-19.5,3.0,1,0,1,1,0.1353334511010826,0,0.12067573615161904,1,0.08587507177264979
johnston atoll;united states;cinema of the united states;the godfather;diane keaton,johnston atoll,diane keaton,4,4,1,1,1,0,2,1,3,"[0.13135378112043106, 0.13966124285229717, 0.15219977239228746, 0.1613711644528121]","[0.004373202376998021, 0.033501304194611496, 0.12603875986560484, 0.1613711644528121, 1.0000000000000002]","[True, True, True]","[True, True, True, True]",True,True,4.0,-479.5,729.4264870430742,-1556.0,-617.75,-170.0,-31.75,-22.0,3.0,511.3333333333333,653.3317176850771,13.0,141.5,270.0,760.5,1251.0,0,0,0,0,0.07261137585923744,0,0.08469507535887764,0,0.08587784648754702
atlantic slave trade;cotton;industrial revolution;communism;robert owen;business;finance;corporate finance;investment banking,atlantic slave trade,investment banking,8,4,1,1,2,1,0,5,5,"[0.07119786891732711, 0.12071013312243918, 0.09641152284096405, 0.062071532127059105, 0.05543150192997732, 0.17739187469546938, 0.5057922552819599, 0.31765842314644044]","[0.04844181193499201, 0.016952499617537725, 0.03323230931613217, 0.01550628949168472, 0.02768119925841684, 0.18351626685945827, 0.2792714425995014, 0.31765842314644044, 0.9999999999999992]","[True, False, False, False, True, True, False]","[False, True, False, True, True, True, True, True]",False,False,8.0,-85.75,74.37117337094682,-233.0,-121.5,-62.5,-45.75,-9.0,7.0,18.0,84.91368166163409,-116.0,-2.0,5.0,35.5,170.0,0,0,1,0,0.038733777573045816,0,0.03218529873736923,1,0.03101300153969084
george h. w. bush;saudi arabia;chicken;meat;salt;edible salt;fatty acid;omega-3 fatty acid;canola,george h. w. bush,canola,8,4,1,1,2,4,1,1,2,"[0.04634576888045993, 0.019040329754685517, 0.1386321415302396, 0.018060011700918373, 0.49361692184542805, 0.024089870318414242, 0.4911673924918877, 0.032213125269520713]","[0.00886064071725328, 0.02654986314121518, 0.009719356334748847, 0.01629865035956676, 0.02581958739630153, 0.011647008731661435, 0.05194742074145998, 0.032213125269520713, 1.0000000000000018]","[False, True, False, True, False, True, False]","[True, False, True, True, False, True, False, True]",False,False,8.0,-82.5,62.00460812368246,-189.0,-110.5,-71.0,-34.0,-19.0,7.0,19.285714285714285,49.76516280061213,-35.0,-16.0,3.0,47.0,105.0,0,0,0,0,0.038086037925972205,0,0.03158644681138034,0,0.03099029384019111
tennis masters cup;tennis;clay;ice age;carboniferous;pelycosaur;dimetrodon;dinosaur;velociraptor,tennis masters cup,velociraptor,8,4,1,1,0,2,1,5,4,"[0.2804941436049123, 0.06438599038508232, 0.04262449679874139, 0.05482403409586224, 0.10838650281581642, 0.3012884745266751, 0.13087578966590252, 0.17388064767782488]","[0.005614801835759823, 0.009120001445446144, 0.006220046206206053, 0.014089575170565315, 0.021185082209426706, 0.025717420183161324, 0.027448630598229776, 0.17388064767782488, 0.9999999999999996]","[False, False, True, True, True, False, True]","[True, False, True, True, True, True, True, True]",False,False,8.0,-71.375,35.27013102976998,-108.0,-95.25,-89.0,-46.0,-14.0,7.0,0.1428571428571428,42.69827698096092,-94.0,5.5,13.0,19.0,33.0,0,0,1,0,0.03913384801585346,0,0.030498169099046873,1,0.02892959414923606
the shawshank redemption;english language;great britain;james i of england;elizabeth i of england;british east india company;china;qin dynasty;great wall of china,the shawshank redemption,marco polo,8,4,0,0,1,2,2,4,5,"[0.01892329524919228, 0.11120296654172418, 0.13201628687996508, 0.3390612648849152, 0.06662748667214903, 0.08776580776796067, 0.241334565720468, 0.14907909827984253]","[0.05541186361772791, 0.029362933785109593, 0.08543802027633811, 0.021055987006929438, 0.013882734392329293, 0.02929520820770628, 0.21389305199102182, 0.14907909827984253, 1.0000000000000016]","[True, True, True, False, True, True, False]","[False, True, False, False, True, True, False, True]",False,False,8.0,-227.75,224.68883245184088,-603.0,-354.75,-98.0,-91.0,-20.0,7.0,83.28571428571429,280.7322058983818,-434.0,-7.5,79.0,260.5,432.0,0,0,0,0,0.036145246025852694,0,0.03550373815798503,0,0.028914687227104694
nicaragua;pacific ocean;tuna;fish,nicaragua,angel shark,3,4,0,0,0,2,0,2,2,"[0.0869460818478665, 0.045869964065728804, 0.11074858220568604]","[0.009855413202608514, 0.02534208546125104, 0.11074858220568604, 0.9999999999999988]","[False, True]","[True, True, True]",False,True,3.0,-162.66666666666666,64.25988899253821,-230.0,-193.0,-156.0,-129.0,-102.0,2.0,37.0,128.69343417595164,-54.0,-8.5,37.0,82.5,128.0,0,0,1,0,0.12735373565738572,0,0.1210826282971829,1,0.09636237879305268
herbivore;human;crime;society,herbivore,absinthe,3,4,0,3,1,0,0,0,0,"[0.11609121662094148, 0.10992157896947834, 0.0866691770019266]","[0.020407588545524637, 0.1620718633700834, 0.0866691770019266, 0.9999999999999988]","[False, False]","[True, False, True]",False,False,3.0,-143.33333333333334,57.50072463311513,-179.0,-176.5,-174.0,-125.5,-77.0,2.0,51.0,65.05382386916237,5.0,28.0,51.0,74.0,97.0,1,0,0,1,0.1273696137628976,0,0.1095099624322532,0,0.09636004727334836
the beatles;united states;atlantic ocean;tropical cyclone;2005 atlantic hurricane season;tropical storm lee (2005),the beatles,tropical storm lee (2005),5,4,1,0,0,1,2,3,4,"[0.07553452233847235, 0.1937470081230291, 0.18221142015538325, 0.5154034119301875, 0.5022655290543928]","[0.017757267235878567, 0.04790448981738396, 0.10413713551220694, 0.526838550325743, 0.5022655290543928, 0.9999999999999986]","[True, False, True, False]","[True, True, True, False, True]",False,False,5.0,-507.4,644.1640319049177,-1609.0,-542.0,-223.0,-108.0,-55.0,4.0,388.5,466.3886076367361,53.0,99.5,217.0,506.0,1067.0,0,0,1,0,0.05969591301594485,0,0.09923865620460605,1,0.09695417836510695
fruit;halloween;great britain;england,fruit,new forest,3,4,0,1,0,0,2,1,2,"[0.05148859752794288, 0.06318094307882088, 0.3109344525135859]","[0.015136653471542253, 0.07266097725370115, 0.3109344525135859, 1.0000000000000024]","[True, True]","[True, True, True]",True,True,3.0,-353.0,382.2656144619864,-784.0,-502.0,-220.0,-137.5,-55.0,2.0,-364.5,282.13560569343247,-564.0,-464.25,-364.5,-264.75,-165.0,0,1,0,0,0.16039113992665105,1,0.1789736082185771,0,0.09696272455957151
bohrium;chemical element;english language;old english language;england;dutch language,bohrium,coriander,5,4,0,0,1,2,0,3,3,"[0.23539413627314879, 0.06477148788314717, 0.4514152407196971, 0.21853910526102258, 0.08933739565606735]","[0.012202054803392913, 0.032313140907047774, 0.3363879083149993, 0.25640317788868267, 0.08933739565606735, 1.0000000000000022]","[False, True, False, False]","[True, True, False, False, True]",False,False,5.0,-396.6,284.91454859308254,-769.0,-630.0,-273.0,-158.0,-153.0,4.0,-30.0,596.1124055075519,-611.0,-510.5,-2.5,478.0,496.0,0,0,1,0,0.06752166497590116,0,0.06549163269889459,1,0.062618966116201
michael jordan;geography;petroleum;carbon;list of elements by name;americium,michael jordan,americium,5,4,1,1,1,2,2,0,3,"[0.01013391787779037, 0.03660216790991859, 0.09005864429403337, 0.05595857646518556, 0.10099484766654063]","[0.007817900086293919, 0.013469897679733204, 0.020850118202566166, 0.0609879106901854, 0.10099484766654063, 1.000000000000001]","[True, True, False, True]","[True, True, True, True, True]",False,True,5.0,-155.4,58.96015603778538,-215.0,-190.0,-177.0,-129.0,-66.0,4.0,-15.75,94.0615932957407,-149.0,-47.0,12.5,43.75,61.0,0,0,0,0,0.08175551295495143,0,0.07013753306563718,0,0.06263568213288913
ethiopia;united states;petroleum;nitrogen;periodic table;americium,ethiopia,americium,5,4,1,0,0,0,3,3,4,"[0.12542695759130923, 0.08598723950848247, 0.04436887062262376, 0.0702607485710457, 0.136472992514937]","[0.006240051959678843, 0.023927278896983577, 0.020850118202566166, 0.052220524741624245, 0.136472992514937, 1.000000000000001]","[False, False, True, True]","[True, False, True, True, True]",False,False,5.0,-524.2,658.2440276979352,-1678.0,-462.0,-183.0,-154.0,-144.0,4.0,383.5,568.3745830582739,10.0,24.25,154.0,513.25,1216.0,0,1,1,0,0.06058950982707311,1,0.1222673315129309,1,0.12272585931196643
hugo wolf;austria;united nations;united states,hugo wolf,rosa parks,3,4,0,1,2,1,0,0,3,"[0.041210470210715174, 0.07354418993683401, 0.30510236928207757]","[0.024479686286752837, 0.1296006041985372, 0.30510236928207757, 0.9999999999999998]","[True, True]","[True, True, True]",True,True,3.0,-759.0,785.1031779326842,-1662.0,-1019.5,-377.0,-307.5,-238.0,2.0,-712.0,810.3443712397834,-1285.0,-998.5,-712.0,-425.5,-139.0,0,0,0,0,0.18509468209739094,0,0.38639883010078097,0,0.12316969106199377
amish;automobile;oxygen;chemical element;periodic table;ununpentium,amish,ununpentium,5,4,1,0,2,1,0,3,4,"[0.01403723207077876, 0.03334615624271672, 0.18887416918770084, 0.42318001982105063, 0.22261314932882886]","[0.003158163325489981, 0.009343830376506261, 0.04652163218876883, 0.26639706024743504, 0.22261314932882886, 0.9999999999999979]","[True, True, True, False]","[True, True, True, False, True]",False,False,5.0,-157.2,48.121720667490685,-234.0,-166.0,-142.0,-139.0,-105.0,4.0,-8.5,84.77617589865682,-129.0,-30.0,13.5,35.0,68.0,0,0,1,0,0.08152725641383299,0,0.08585433652245687,1,0.06671699022901427
fourteenth amendment to the united states constitution;england;industrial revolution;sulfuric acid;water;oxygen;hydrogen peroxide,fourteenth amendment to the united states constitution,hydrogen peroxide,6,4,1,1,1,2,2,1,5,"[0.042368857530450416, 0.11331835062185264, 0.09128151734620882, 0.13129983954420635, 0.1301870139539157, 0.2264333513070868]","[0.0063736406738963206, 0.012590838877508954, 0.04088072314778599, 0.17410241237031032, 0.08760195165309152, 0.2264333513070868, 1.000000000000001]","[True, False, True, False, True]","[True, True, True, False, True, True]",False,False,6.0,-287.6666666666667,256.6411242701891,-763.0,-314.75,-245.0,-134.75,-37.0,5.0,145.2,269.3588684264916,-131.0,-101.0,155.0,297.0,506.0,0,0,0,0,0.05376088301118152,0,0.05483005400507952,0,0.06670406186843511
judaism;united states;internet;world wide web;mozilla firefox,judaism,mozilla firefox,4,4,1,0,0,1,2,2,3,"[0.06506229092889865, 0.07585687426678714, 0.3934715901446399, 0.08234608458590956]","[0.0057886988668811295, 0.015633751076269152, 0.06831726368593807, 0.08234608458590956, 0.9999999999999972]","[True, True, False]","[True, True, True, True]",False,True,4.0,-523.5,736.0636294958925,-1596.0,-708.75,-232.5,-47.25,-33.0,3.0,521.0,598.2674986993694,19.0,190.0,361.0,772.0,1183.0,0,0,0,0,0.0681534865229537,0,0.09558767082338272,0,0.08119590494251547
judaism;united states;internet;world wide web;mozilla firefox,judaism,mozilla firefox,4,4,1,0,1,0,0,4,3,"[0.06506229092889865, 0.07585687426678714, 0.3934715901446399, 0.08234608458590956]","[0.0057886988668811295, 0.015633751076269152, 0.06831726368593807, 0.08234608458590956, 0.9999999999999972]","[True, True, False]","[True, True, True, True]",False,True,4.0,-523.5,736.0636294958925,-1596.0,-708.75,-232.5,-47.25,-33.0,3.0,521.0,598.2674986993694,19.0,190.0,361.0,772.0,1183.0,0,0,1,0,0.0681534865229537,0,0.09558767082338272,1,0.08119590494251547
imperative programming;20th century;1st century;1st century bc;greece;adolf hitler,imperative programming,mammoth,5,4,0,1,0,0,2,3,3,"[0.02973980692246066, 0.5724466128896398, 0.8563044497235953, 0.013604304613863805, 0.05806704848328218]","[0.006707280531828288, 0.05051069694796662, 0.007309300423263439, 0.003181505513253352, 0.05806704848328218, 0.9999999999999986]","[True, True, False, True]","[True, False, False, True, True]",False,False,5.0,-203.2,98.8645538097452,-311.0,-276.0,-221.0,-137.0,-71.0,4.0,22.5,160.8902317316582,-205.0,-10.0,60.5,93.0,174.0,0,0,1,0,0.07714173216255586,0,0.06529189142631059,1,0.058798700706756364
agnosticism;philosophy;biology;bacteria;microscope;optical microscope,agnosticism,optical microscope,5,4,1,0,0,2,2,2,5,"[0.09476511685770518, 0.04434913427946535, 0.23628503209818402, 0.04503360044443795, 0.7016782950610443]","[0.0053828770383861965, 0.015568880031034424, 0.0151637174965733, 0.04324580668283001, 0.7016782950610443, 1.0000000000000007]","[False, True, False, True]","[True, False, True, True, True]",False,False,5.0,-120.8,76.90058517332622,-195.0,-170.0,-157.0,-70.0,-12.0,4.0,45.75,33.44024521441193,13.0,22.0,41.5,65.25,87.0,0,0,0,0,0.07905128399506735,0,0.05827582988112247,0,0.05876198515185252
coconut oil;philippines;roman catholic church;christianity;jesus;literature;philosophy;ethics;politics,coconut oil,humanities,8,4,0,0,1,0,1,7,8,"[0.02654780260955322, 0.04952068592339391, 0.44790303236014606, 0.4779450275366776, 0.029841988323205688, 0.06325372207539283, 0.178211446109441, 0.13394912695094932]","[0.01036688605672395, 0.06352683708107497, 0.07193756618081693, 0.0789981410746305, 0.03897780762417178, 0.05477591483135206, 0.19688904313193242, 0.13394912695094932, 1.000000000000002]","[True, True, True, False, True, True, False]","[True, True, True, False, True, True, False, True]",False,False,8.0,-205.75,96.94438759265172,-396.0,-247.5,-168.5,-140.0,-109.0,7.0,9.285714285714286,127.47249936844456,-120.0,-98.5,26.0,61.5,233.0,0,0,1,0,0.03597500854763502,0,0.04319588629457976,1,0.040990856993920716
united states declaration of independence;george iii of the united kingdom;english language;england;football;manchester;manchester united f.c.;wayne rooney,united states declaration of independence,wayne rooney,7,4,1,2,2,2,0,2,4,"[0.14089043277501562, 0.04736299394948692, 0.24744514090634143, 0.16819360481264764, 0.05692044707362794, 0.35086494818459807, 0.23711374202742624]","[0.022963385398752745, 0.020615737356543578, 0.024374228776347907, 0.09157021382589575, 0.06407335723412741, 0.14439878374698398, 0.23711374202742624, 1.0000000000000002]","[False, True, False, False, True, False]","[False, True, True, False, True, True, True]",False,False,7.0,-292.14285714285717,329.5655870846897,-867.0,-426.0,-138.0,-84.0,-20.0,6.0,6.166666666666667,412.76890225241857,-592.0,-156.75,46.0,84.5,664.0,0,0,0,0,0.043685731219264175,0,0.051033312953164045,0,0.041006620401611654
tower bridge;england;rugby football;australia;new zealand;all blacks,tower bridge,all blacks,5,4,1,0,1,1,1,3,3,"[0.0728330087017904, 0.15936147462745487, 0.06947847943446638, 0.18543805184162676, 0.3500537851473539]","[0.01853679918362838, 0.12145713806243984, 0.20422734083318847, 0.13681244878447787, 0.3500537851473539, 1.0000000000000024]","[True, False, True, True]","[True, True, False, True, True]",False,False,5.0,-398.4,273.0728840438025,-759.0,-569.0,-385.0,-189.0,-90.0,4.0,167.25,399.2871773548457,-380.0,43.0,239.5,363.75,570.0,0,0,1,0,0.06310301865930909,0,0.0562606449648449,1,0.05558425303893788
"mustard seed;wine;united states;seattle, washington;microsoft",mustard seed,microsoft,4,4,1,0,1,2,0,2,4,"[0.039504494071556644, 0.06475669043594148, 0.09275948927303504, 0.03862195379348628]","[0.0028221795161738773, 0.010915953254933943, 0.04617786869458176, 0.03862195379348628, 1.0000000000000029]","[True, True, False]","[True, True, False, True]",False,False,4.0,-533.25,730.8727089354661,-1617.0,-650.25,-211.5,-94.5,-93.0,3.0,-0.6666666666666666,1420.982875805804,-1524.0,-645.5,233.0,761.0,1289.0,0,0,0,0,0.07873074859552683,0,0.1076029714965455,0,0.05556508639804718
polonium;poland;world war ii;united kingdom,polonium,monty python,3,4,0,1,0,0,1,2,4,"[0.02115531399965203, 0.16738711558618008, 0.16681492776032184]","[0.017105136713093806, 0.10955472517456588, 0.16681492776032184, 1.0000000000000027]","[True, False]","[True, True, True]",False,True,3.0,-736.6666666666666,394.1501405978861,-1089.0,-949.5,-810.0,-560.5,-311.0,2.0,-389.0,155.56349186104046,-499.0,-444.0,-389.0,-334.0,-279.0,0,0,1,0,0.1481936390814754,0,0.19777731505469737,1,0.1909062384069874
"dakota, minnesota and eastern railroad;united states;italy;milan","dakota, minnesota and eastern railroad",leaning tower of pisa,3,4,0,1,1,0,2,0,4,"[0.10930656921096629, 0.19233873259820441, 0.21458472502302406]","[0.02506107219337466, 0.07916252091718615, 0.21458472502302406, 1.0000000000000024]","[True, True]","[True, True, True]",True,True,3.0,-854.3333333333334,701.5813091391,-1562.0,-1202.0,-842.0,-500.5,-159.0,2.0,701.5,26.16295090390226,683.0,692.25,701.5,710.75,720.0,0,1,0,0,0.08527757850545058,1,0.21269039234449608,0,0.19364620475326344
4th century;roman empire;roman britain;great britain;british isles;british isles (terminology),4th century,british isles (terminology),5,4,1,0,0,1,2,3,4,"[0.15850531914895272, 0.3842635421407951, 0.3808050860600657, 0.5892189643178198, 0.775951879155342]","[0.02088464561012705, 0.050824575425063204, 0.25610848466539154, 0.6531354167159413, 0.775951879155342, 1.0000000000000007]","[True, False, True, True]","[True, True, True, True, True]",False,True,5.0,-149.8,84.16471944942252,-257.0,-224.0,-105.0,-82.0,-81.0,4.0,44.0,138.78280392997783,-142.0,-17.5,71.5,133.0,175.0,0,0,1,0,0.07605832951453037,0,0.07820126794708745,1,0.05679548812253751
johannes kepler;earth;ocean;fish;aquarium;goldfish,johannes kepler,goldfish,5,4,1,2,2,1,0,1,1,"[0.0877781468711817, 0.20035776677030617, 0.0453721799894227, 0.2111897995263685, 0.13686425987965928]","[0.004142722300494176, 0.013076524104111408, 0.012799674519198239, 0.1243701953771607, 0.13686425987965928, 1.0000000000000033]","[True, False, True, False]","[True, False, True, True, True]",False,False,5.0,-153.6,110.31681648778668,-301.0,-192.0,-187.0,-57.0,-31.0,4.0,61.0,85.70103072114516,-26.0,-2.75,57.0,120.75,156.0,0,0,0,0,0.07345294533260237,0,0.053131588422277304,0,0.056786642422921974
absinthe;fennel;vegetable;food,absinthe,parsnip,3,4,0,1,0,0,1,2,0,"[0.11862136092639339, 0.03646769739210363, 0.09039033835028477]","[0.020744362826978703, 0.028981331360562204, 0.09039033835028477, 1.0000000000000004]","[False, True]","[True, True, True]",False,True,3.0,-80.33333333333333,26.950572040929544,-104.0,-95.0,-86.0,-68.5,-51.0,2.0,-17.5,50.204581464244875,-53.0,-35.25,-17.5,0.25,18.0,0,0,1,0,0.13313870594125413,0,0.11069255522695937,1,0.08801608563951456
achilles tendon;achilles;ethiopia;côte d'ivoire,achilles tendon,ivory,3,4,0,1,2,1,0,0,2,"[0.4789700473306632, 0.011361904057184973, 0.08548697107700937]","[0.0035859677194498515, 0.005736268102434623, 0.08548697107700937, 1.000000000000002]","[False, True]","[True, True, True]",False,True,3.0,-119.33333333333331,92.79188182881803,-189.0,-172.0,-155.0,-84.5,-14.0,2.0,-87.5,75.66042558696059,-141.0,-114.25,-87.5,-60.75,-34.0,0,0,0,0,0.139809687113204,0,0.09868538469521475,0,0.0881028616002026
richard feynman;physics;biology;cell (biology);organism;eukaryote;animal,richard feynman,chromatophore,6,4,0,0,2,0,1,4,2,"[0.17293466715004502, 0.08746855490807091, 0.21980324453094308, 0.40847916688655084, 0.28539909937232877, 0.1422873910712123]","[0.007168276359729811, 0.025459665551795577, 0.12569505374784143, 0.12172938106155738, 0.1661919507885705, 0.1422873910712123, 1.0]","[False, True, True, False, False]","[True, True, False, True, False, True]",False,False,6.0,-182.16666666666663,163.03179648972366,-500.0,-182.25,-131.5,-80.0,-68.0,5.0,-68.2,207.82492632020828,-432.0,-31.0,4.0,32.0,86.0,0,0,1,0,0.06296169161248076,0,0.06450201348969152,1,0.040277791665858285
lake superior;canada;atlantic ocean;africa;north africa;tunisia;tunis;africa;north africa,lake superior,hannibal barca,8,4,0,4,0,2,2,1,9,"[0.07751154265109773, 0.11499015998017968, 0.1427463457463413, 0.4192155578415994, 0.24042305102300285, 0.3054419148032509, 0.07798985342046842, 0.4192155578415994]","[0.020155625270789332, 0.06961636030001504, 0.09337849632228544, 0.4192155578415994, 0.9999999999999996, 0.24042305102300285, 0.07039264490075543, 0.4192155578415994, 0.9999999999999996]","[True, True, True, False, True, False, True]","[True, True, True, True, False, False, True, True]",False,False,8.0,-348.75,203.19360929208096,-600.0,-518.75,-312.0,-264.25,-46.0,7.0,39.714285714285715,291.48568534647586,-449.0,-105.5,183.0,233.5,288.0,0,0,0,0,0.03820904495362985,0,0.04915871978614789,0,0.040275980341937995
gregorian chant;asteroid;carl friedrich gauss;magnetism;inductance,gregorian chant,inductance,4,4,1,0,0,2,2,1,3,"[0.011327299166246956, 0.056976596230369735, 0.08294154687384256, 0.10217814183219157]","[0.0033251687605035736, 0.008325865518861202, 0.011509211774708502, 0.10217814183219157, 1.0000000000000009]","[True, True, True]","[True, True, True, True]",True,True,4.0,-74.5,49.467160824126545,-144.0,-92.25,-60.0,-42.25,-34.0,3.0,10.0,107.89346597454362,-110.0,-34.5,41.0,70.0,99.0,0,0,0,0,0.10214877010574062,0,0.08838681752164614,0,0.0672052996519152
