path,source_article,target_article,human_path_length,shortest_path_length,is_successful,curv_feats_0,curv_feats_1,curv_feats_2,curv_feats_3,curv_feats_4,curv_feats_5,curv_feats_6,curv_feats_7,curv_feats_8,curv_feats_9,curv_feats_10,curv_feats_11,curv_feats_12,curv_feats_13,curv_feats_14,curv_feats_15,top,center_top,center,center_bottom,bottom,prop_scores_top,treatment_top
hugo wolf;austria;switzerland;european union;republic of ireland;u2,hugo wolf,u2,5,4,1,5.0,-231.4,91.07304760465634,-295.0,-291.0,-259.0,-238.0,-74.0,4.0,41.0,102.94011203931471,-57.0,-11.25,18.0,70.25,185.0,3,2,1,0,0,0.058853177913573106,1
john mcenroe;australian open;sydney;australia;kangaroo;wallaby,john mcenroe,wallaby,5,4,1,5.0,-169.2,241.5226697434425,-598.0,-100.0,-78.0,-48.0,-22.0,4.0,6.5,418.4172558583119,-520.0,-152.5,24.0,183.0,498.0,0,2,1,2,1,0.05885248489170514,0
turtle;canada;arctic ocean;russia;soviet union;cold war;mikhail gorbachev;nuclear weapon;aircraft;earth's atmosphere;planet;gravitation,turtle,sputnik 2,11,4,0,11.0,-232.27272727272728,194.8830884962012,-585.0,-337.0,-132.0,-99.0,-74.0,10.0,42.8,237.91959426103043,-445.0,-53.25,38.0,140.5,488.0,6,2,2,1,1,0.01924358517161977,1
soil structure;garden;plant;potato;seed;cereal;agriculture;weed;dandelion;soup;food;protein,soil structure,celery,11,4,0,11.0,-107.36363636363636,81.78541768221609,-277.0,-130.5,-96.0,-53.0,-8.0,10.0,-12.8,124.20842698196178,-200.0,-67.5,-10.5,48.75,209.0,5,1,2,3,1,0.019237543287076723,0
bicycle thieves;film;internet;information;computer science;cryptography;data encryption standard,bicycle thieves,data encryption standard,6,4,1,6.0,-78.83333333333333,49.08529990401064,-144.0,-118.25,-58.0,-44.25,-35.0,5.0,20.8,34.01029255975315,-5.0,2.0,6.0,22.0,79.0,5,1,1,0,0,0.05533606323041771,1
rupee;indonesia;japan;fishing;fish;whale shark,rupee,whale shark,5,4,1,5.0,-245.8,227.39547049138864,-628.0,-213.0,-191.0,-180.0,-17.0,4.0,49.0,362.2715372019539,-415.0,-112.0,81.5,242.5,448.0,1,2,1,0,2,0.0553317573524223,0
badger;english language;internet;microsoft;microsoft windows;windows 2000,badger,windows 2000,5,4,1,5.0,-198.2,245.20440452814054,-610.0,-237.0,-74.0,-54.0,-16.0,4.0,148.5,162.61713726828833,20.0,33.5,100.5,215.5,373.0,3,1,0,1,1,0.07362891087758415,1
aruba;currency;archimedes;geometry;euclidean geometry,aruba,euclidean geometry,4,4,1,4.0,-110.75,139.57166617906373,-318.0,-131.25,-51.0,-30.5,-23.0,3.0,98.33333333333333,166.77629727672135,-36.0,5.0,46.0,165.5,285.0,1,0,2,1,1,0.0736360768618961,0
rapping;united states;president of the united states;john f. kennedy;john f. kennedy assassination;ike altgens,rapping,ike altgens,5,4,1,5.0,-445.4,648.7235929114956,-1565.0,-455.0,-115.0,-74.0,-18.0,4.0,386.75,501.4029484024467,41.0,52.25,198.0,532.5,1110.0,5,0,0,0,1,0.0884616951025617,1
acceleration;physics;technology;computer;internet,acceleration,mozilla firefox,4,4,0,4.0,-146.5,23.230726778701236,-175.0,-160.0,-144.0,-130.5,-123.0,3.0,-7.333333333333333,51.62686639079825,-42.0,-37.0,-32.0,10.0,52.0,1,1,1,1,1,0.08845973567358936,0
andorra;europe;earth;comet;comet shoemaker-levy 9,andorra,comet shoemaker-levy 9,4,4,1,4.0,-404.5,418.4323919902314,-985.0,-565.75,-293.5,-132.25,-46.0,3.0,313.0,225.85836269662454,115.0,190.0,265.0,412.0,559.0,3,0,0,2,0,0.09473196378369743,1
necktie;world war i;south africa;africa;rainforest,necktie,african clawed frog,4,4,0,4.0,-409.5,131.6269982437747,-576.0,-456.0,-403.5,-357.0,-255.0,3.0,53.666666666666664,254.21513199125917,-185.0,-80.0,25.0,173.0,321.0,1,1,1,1,1,0.09475003358750218,0
italy;united states;computer;toy;film;animation;the lion king;toy story,italy,toy story,7,4,1,7.0,-329.14285714285717,590.2229602930937,-1634.0,-277.0,-46.0,-31.0,-8.0,6.0,268.8333333333333,507.5708489133972,-129.0,-1.5,83.5,283.25,1255.0,4,1,0,1,2,0.042624686759064806,1
muhammad ali jinnah;new york city;great lakes;saint lawrence seaway;niagara falls;mississippi river;river;meander,muhammad ali jinnah,meander,7,4,1,7.0,-112.85714285714286,106.56676869679492,-337.0,-115.0,-102.0,-52.5,-16.0,6.0,39.166666666666664,102.89298647948102,-60.0,-26.0,13.0,67.75,222.0,1,3,2,0,2,0.04259635579347237,0
pentateuch;isaac;egypt;united kingdom;computer;c++,pentateuch,c++,5,4,1,5.0,-344.0,416.46908648782085,-1040.0,-371.0,-253.0,-46.0,-10.0,4.0,-9.0,642.8519788152375,-669.0,-438.0,-77.0,352.0,787.0,3,1,1,1,0,0.06598753124593079,1
coronation street;bbc;television;computer and video games;nintendo entertainment system;super mario bros.,coronation street,super mario bros.,5,4,1,5.0,-98.8,88.40079185165708,-196.0,-194.0,-47.0,-38.0,-19.0,4.0,43.75,77.83904333088034,-9.0,-3.75,13.0,60.5,158.0,2,2,0,1,1,0.06598693656117205,0
honey bee;europe;atlantic ocean;united states,honey bee,ku klux klan,3,4,0,3.0,-1010.0,635.6988280624718,-1674.0,-1311.5,-949.0,-678.0,-407.0,2.0,-362.5,1279.1561671664645,-1267.0,-814.75,-362.5,89.75,542.0,2,0,1,0,1,0.24763600076572215,1
the relapse;dublin;republic of ireland;united kingdom,the relapse,crow,3,4,0,3.0,-423.0,522.554303398221,-1024.0,-596.5,-169.0,-122.5,-76.0,2.0,-474.0,538.8153672641492,-855.0,-664.5,-474.0,-283.5,-93.0,0,1,1,0,2,0.2475878639227694,0
henry v of england;middle ages;technology;space exploration;astronomy;gas giant,henry v of england,gas giant,5,4,1,5.0,-134.0,74.92663077971676,-253.0,-137.0,-127.0,-105.0,-48.0,4.0,37.0,86.84468895678077,-79.0,-3.25,55.5,95.75,116.0,5,0,1,0,0,0.06477197459181092,1
buddha;china;pi;computer;microsoft windows;windows xp,buddha,windows xp,5,4,1,5.0,-163.0,193.5355264544471,-504.0,-112.0,-98.0,-77.0,-24.0,4.0,120.0,192.7571875010977,-14.0,22.75,44.0,141.25,406.0,2,2,1,0,1,0.06477149117654882,0
edward ii of england;scotland;coal;sulfur;volcano;magma,edward ii of england,magma,5,4,1,5.0,-204.2,97.34577546046876,-348.0,-233.0,-210.0,-130.0,-100.0,4.0,62.0,94.79451460923254,-80.0,57.25,106.5,111.25,115.0,3,0,2,0,1,0.07587093156428686,1
wayne rooney;united kingdom;hydrogen;plasma (physics);phase (matter);absolute zero,wayne rooney,absolute zero,5,4,1,5.0,-319.0,388.91901470614675,-986.0,-321.0,-176.0,-82.0,-30.0,4.0,239.0,316.7617401139222,-94.0,86.0,192.5,345.5,665.0,0,1,0,3,2,0.07586655603414352,0
lake chad;africa;horn of africa;banana,lake chad,wood fuel,3,4,0,3.0,-261.6666666666667,209.42142520127527,-487.0,-356.0,-225.0,-149.0,-73.0,2.0,207.0,77.78174593052023,152.0,179.5,207.0,234.5,262.0,2,0,0,2,0,0.09885532886652555,1
speed of light;james clerk maxwell;university of cambridge;cambridge,speed of light,chew valley,3,4,0,3.0,-83.33333333333333,17.243356208503418,-102.0,-91.0,-80.0,-74.0,-68.0,2.0,-6.0,39.59797974644666,-34.0,-20.0,-6.0,8.0,22.0,1,0,1,1,1,0.09887390303247967,0
3rd century;north america;united states;cold war,3rd century,w. mark felt,3,4,0,3.0,-841.6666666666666,679.3057730752281,-1626.0,-1042.0,-458.0,-449.5,-441.0,2.0,-8.5,1663.8222561319462,-1185.0,-596.75,-8.5,579.75,1168.0,2,0,0,1,1,0.2405180479084868,1
eric clapton;antigua and barbuda;guadeloupe;france,eric clapton,rose-ringed parakeet,3,4,0,3.0,-376.3333333333333,530.6452047586347,-989.0,-533.5,-78.0,-70.0,-62.0,2.0,-463.5,632.86056916196,-911.0,-687.25,-463.5,-239.75,-16.0,0,0,1,1,2,0.2409299892028287,0
nintendo ds;nintendo;super mario bros.;mario;super mario 64;nintendo;united states,nintendo ds,roche limit,6,4,0,6.0,-287.5,635.2173643722281,-1584.0,-38.0,-33.5,-22.25,-16.0,5.0,-309.8,694.5406395597021,-1552.0,-13.0,-4.0,-3.0,23.0,4,0,0,3,0,0.08596674873603756,1
saturn v;united states;computer;linux;x window system,saturn v,x window system,4,4,1,4.0,-514.75,725.8614996448473,-1578.0,-678.75,-229.0,-65.0,-23.0,3.0,518.3333333333334,601.9670533620036,56.0,178.0,300.0,749.5,1199.0,1,1,0,2,1,0.08595746064523195,0
government;thomas jefferson;president of the united states;bill clinton;george h. w. bush;people's republic of china;pakistan;india;sikkim;plover;animal;bird,government,indian peafowl,11,4,0,11.0,-242.1818181818182,191.02189308130005,-656.0,-301.5,-195.0,-96.0,-55.0,10.0,-18.0,294.90864875603614,-441.0,-201.75,31.0,70.75,561.0,6,0,2,0,4,0.02085030210340269,1
henrik ibsen;stroke;hippocrates;ancient greece;university;library;library of alexandria;aristotle;education;psychology;educational psychology;pedagogy,henrik ibsen,pedagogy,11,4,1,11.0,-82.36363636363636,50.65031634111031,-180.0,-110.0,-67.0,-44.0,-17.0,10.0,4.0,64.89136220552693,-150.0,-1.5,10.0,36.75,77.0,5,2,2,2,1,0.02086327777776844,0
lake turkana;kenya;africa;united states;jazz;louis armstrong,lake turkana,sickle-cell disease,5,4,0,5.0,-578.0,698.8014739537975,-1761.0,-608.0,-372.0,-116.0,-33.0,4.0,20.75,1097.5719794163842,-1153.0,-657.25,-76.5,601.5,1389.0,2,2,2,0,0,0.06681346584122339,0
mark antony;english language;united states;battle of gettysburg;gettysburg address,mark antony,gettysburg address,4,4,1,4.0,-649.5,721.6354111784334,-1667.0,-878.0,-459.5,-231.0,-12.0,3.0,201.0,1210.0690062967483,-1052.0,-380.0,292.0,827.5,1363.0,3,0,0,2,0,0.06680613346596925,1
james ii of england;france;brazil;rainforest;bird;bird migration;blackbird,james ii of england,blackbird,6,4,1,6.0,-317.5,348.86028722111666,-995.0,-324.5,-198.0,-124.75,-47.0,5.0,189.6,291.00481095679504,-143.0,83.0,136.0,221.0,651.0,4,1,1,1,0,0.061609758332621924,1
short-beaked echidna;australia;indian ocean;india;indus valley civilization;lothal,short-beaked echidna,lothal,5,4,1,5.0,-321.4,289.06279594579445,-684.0,-573.0,-203.0,-109.0,-38.0,4.0,133.75,459.1189932904105,-481.0,-67.0,220.5,421.25,575.0,1,1,2,1,1,0.061622741322445135,0
pony;horse;mammal;whale;sperm whale,pony,sperm whale,4,4,1,4.0,-106.5,104.88247390929207,-262.0,-121.0,-64.5,-50.0,-35.0,3.0,6.666666666666667,199.47514465048855,-207.0,-84.0,39.0,113.5,188.0,1,1,2,0,1,0.07572009762115135,0
pony;horse;mammal;whale;sperm whale,pony,sperm whale,4,4,1,4.0,-106.5,104.88247390929207,-262.0,-121.0,-64.5,-50.0,-35.0,3.0,6.666666666666667,199.47514465048855,-207.0,-84.0,39.0,113.5,188.0,3,0,0,0,2,0.07572009762115135,1
henrik ibsen;united states;moon;japan;mario;super mario bros.,henrik ibsen,super mario bros.,5,4,1,5.0,-545.8,616.2367239949272,-1560.0,-619.0,-425.0,-103.0,-22.0,4.0,384.5,579.4586554132514,-194.0,12.25,298.5,670.75,1135.0,4,2,0,0,0,0.07584841804887127,1
nickel;switzerland;united nations;portugal;civilization;christopher columbus,nickel,quetzalcoatl,5,4,0,5.0,-277.2,133.28428264427882,-435.0,-374.0,-282.0,-187.0,-108.0,4.0,23.75,202.56583292023032,-92.0,-82.25,-70.0,36.0,327.0,0,2,1,1,2,0.07584859416287269,0
55 cancri c;gas giant;sun;egypt;nile;africa;niger,55 cancri c,niger,6,4,1,6.0,-265.6666666666667,177.9760283483893,-508.0,-394.25,-237.5,-150.5,-43.0,5.0,-46.4,296.98703675413174,-374.0,-234.0,-157.0,233.0,300.0,4,2,0,1,0,0.0485430702809904,1
amazon river;anaconda;animal;fish;whale shark;shark;great white shark,amazon river,great white shark,6,4,1,6.0,-140.66666666666666,192.13189913876008,-516.0,-145.5,-52.5,-35.25,-17.0,5.0,-1.8,307.33320679679247,-483.0,-46.0,21.0,156.0,343.0,2,1,0,3,1,0.04855447373068904,0
martinique;great britain;europe;russia;country;earth;earth's atmosphere;carbon dioxide;oxygen;chemical element;periodic table;rhodium,martinique,rhodium,11,4,1,11.0,-307.8181818181818,266.2366684669181,-966.0,-268.5,-196.0,-155.5,-140.0,10.0,5.1,326.587898666738,-770.0,-76.5,39.0,90.25,492.0,6,1,2,1,2,0.023906725704667127,1
basking shark;shark;fish;dolphin;united states;electronics;electron;electric charge;electrical resistance,basking shark,electrical resistance,8,4,1,8.0,-312.0,521.1903957014448,-1576.0,-229.75,-121.5,-52.75,-41.0,7.0,0.7142857142857143,812.2587260813134,-1535.0,-57.0,131.0,143.5,1236.0,1,0,2,5,1,0.023911343624632535,0
triceratops;canada;united kingdom;channel islands;guernsey;isaac brock,triceratops,isaac brock,5,4,1,5.0,-381.2,427.0160418532306,-1033.0,-589.0,-194.0,-56.0,-34.0,4.0,138.75,530.2762644760434,-444.0,-94.5,80.0,313.25,839.0,3,0,0,2,1,0.08195084364609702,1
arts and crafts;textile;cotton;industrial revolution;rail transport,arts and crafts,henry h. rogers,4,4,0,4.0,-88.75,22.998188334446404,-117.0,-99.75,-88.0,-77.0,-62.0,3.0,-10.666666666666666,30.105370506494904,-35.0,-27.5,-20.0,1.5,23.0,2,1,0,1,1,0.0819612135331248,0
order of st. patrick;united kingdom;nato;cold war;dwight d. eisenhower;soviet union;sputnik 1;project vanguard,order of st. patrick,project vanguard,7,4,1,7.0,-293.7142857142857,334.1151070542976,-992.0,-320.5,-256.0,-74.0,-19.0,6.0,162.16666666666666,349.2972468638519,-307.0,10.75,120.5,276.75,736.0,4,1,2,0,1,0.03855980702145099,1
computer programming;microsoft;bill gates;aids;sub-saharan africa;ethiopia;nile;river;fresh water,computer programming,fresh water,8,4,1,8.0,-114.0,62.79672420937713,-206.0,-143.5,-111.5,-77.25,-26.0,7.0,-10.857142857142858,64.91642979356503,-120.0,-40.0,13.0,20.0,71.0,2,0,2,1,4,0.03854983785020225,0
ruthenium;russia;sputnik 1;space race;space station;star trek;star trek  the original series,ruthenium,star trek  the original series,6,4,1,6.0,-131.16666666666666,204.73145011616234,-543.0,-99.0,-43.0,-28.25,-17.0,5.0,105.2,185.5483764412936,-27.0,15.0,22.0,87.0,429.0,4,0,1,0,2,0.05409091412826436,1
schrödinger equation;physics;nicolaus copernicus;german language;mexico;aztec;nahuatl language,schrödinger equation,nahuatl language,6,4,1,6.0,-167.33333333333334,119.04732952345746,-349.0,-234.75,-130.5,-108.75,-23.0,5.0,22.4,151.00761570199035,-142.0,-81.0,9.0,80.0,246.0,0,1,2,2,2,0.0540798482855259,0
silicon;periodic table;list of elements by name;hydrogen,silicon,lake albert,3,4,0,3.0,-225.0,64.8613906727261,-272.0,-262.0,-252.0,-201.5,-151.0,2.0,-60.5,57.27564927611035,-101.0,-80.75,-60.5,-40.25,-20.0,2,0,1,0,1,0.11187528418304302,1
venezuela;south america;north america;united states;new york city,venezuela,krazy kat,4,4,0,4.0,-758.75,592.9723855290396,-1626.0,-863.25,-558.0,-453.5,-293.0,3.0,-105.33333333333333,1072.138206265094,-1119.0,-666.5,-214.0,401.5,1017.0,1,1,0,0,3,0.11165325097371341,0
black seminoles;andrew jackson;thomas jefferson;isaac newton;calculus;mathematics;trigonometry,black seminoles,trigonometry,6,4,1,6.0,-90.66666666666667,50.52392172690741,-178.0,-104.25,-77.0,-72.25,-28.0,5.0,-9.0,78.30389517769854,-97.0,-44.0,-40.0,31.0,105.0,4,0,1,2,0,0.05217452316231859,1
monaco grand prix;monaco;french language;european union;united kingdom;british house of commons;speaker of the british house of commons,monaco grand prix,speaker of the british house of commons,6,4,1,6.0,-354.6666666666667,388.72338065347526,-1103.0,-336.25,-292.5,-107.75,-43.0,5.0,3.2,599.8218068726745,-772.0,-279.0,7.0,211.0,849.0,1,2,1,2,1,0.052178073510850145,0
proton;electron;university of cambridge;united kingdom;tony blair,proton,tony blair,4,4,1,4.0,-378.0,428.15495637288456,-1016.0,-411.5,-199.5,-166.0,-97.0,3.0,-7.0,866.7508292467911,-919.0,-413.5,92.0,449.0,806.0,3,0,1,1,0,0.07178012800741733,1
superman;newspaper;united kingdom;charles dickens;oliver twist,superman,oliver twist,4,4,1,4.0,-325.75,458.51381295078414,-1004.0,-404.0,-137.0,-58.75,-25.0,3.0,15.0,878.5562019586454,-934.0,-377.5,179.0,489.5,800.0,1,1,1,1,1,0.07177274429235529,0
milk;protein;atom;neutron;quark;proton,milk,isospin,5,4,0,5.0,-99.6,59.239345033516365,-160.0,-158.0,-97.0,-52.0,-31.0,4.0,26.5,85.56284240252891,-63.0,-31.5,20.0,78.0,129.0,3,1,1,0,1,0.06232400410068243,1
globe theatre;tokyo;world war ii;nuclear weapon;neutron;quark,globe theatre,quark,5,4,1,5.0,-249.0,308.5093191461159,-790.0,-190.0,-150.0,-84.0,-31.0,4.0,13.25,539.5969946790536,-706.0,-146.5,79.5,239.25,600.0,2,2,1,0,1,0.06232269371037143,0
arctic monkeys;new zealand;nuclear power;chernobyl disaster;world health organization;tobacco;cancer;lung cancer,arctic monkeys,lung cancer,7,4,1,7.0,-127.42857142857143,91.7439501054559,-323.0,-126.0,-105.0,-79.0,-54.0,6.0,44.666666666666664,98.21337315593364,-51.0,-28.75,29.0,79.25,213.0,4,1,0,2,1,0.04392623924045886,1
scooby-doo;television;sound;music;musical instrument;guitar;double bass;cello,scooby-doo,cello,7,4,1,7.0,-73.57142857142857,48.37305428595946,-168.0,-86.0,-60.0,-44.0,-27.0,6.0,22.333333333333332,53.98024329943935,-48.0,-2.75,21.0,32.75,114.0,0,1,0,4,3,0.04392072875532903,0
batman;superman;earth;food,batman,banana,3,4,0,3.0,-167.66666666666666,138.3485935357976,-300.0,-239.5,-179.0,-101.5,-24.0,2.0,-77.5,280.72139213105936,-276.0,-176.75,-77.5,21.75,121.0,2,1,0,1,0,0.09770621964738488,1
recycling;world war ii;united nations;poverty;working poor,recycling,working poor,4,4,1,4.0,-363.25,320.1139120167486,-775.0,-529.75,-312.0,-145.5,-54.0,3.0,240.33333333333334,106.10529361598003,122.0,197.0,272.0,299.5,327.0,2,0,1,1,1,0.09770618495373498,0
jane eyre;country;nationality;ethnic group;people's republic of china,jane eyre,giant panda,4,4,0,4.0,-124.75,123.31903070221293,-306.0,-150.75,-74.5,-48.5,-44.0,3.0,-69.0,164.7938105633825,-256.0,-131.0,-6.0,24.5,55.0,3,1,0,0,1,0.09001585615739156,1
edmund hillary;united states;george w. bush;hurricane katrina;meteorological history of hurricane katrina,edmund hillary,meteorological history of hurricane katrina,4,4,1,4.0,-538.75,699.2817148093226,-1563.0,-695.25,-268.5,-112.0,-55.0,3.0,502.6666666666667,575.3384511166738,76.0,175.5,275.0,716.0,1157.0,0,0,0,4,1,0.08997446793330728,0
cat's eye nebula;binary star;star;universe;earth,cat's eye nebula,star trek  deep space nine,4,4,0,4.0,-141.25,107.1272607696099,-287.0,-167.75,-124.5,-98.0,-29.0,3.0,-86.0,76.1774244773345,-159.0,-125.5,-92.0,-49.5,-7.0,3,1,0,0,1,0.08910965792149432,1
photography;united states;atlantic ocean;africa;port louis,photography,port louis,4,4,1,4.0,-728.0,579.1188709295068,-1558.0,-839.5,-571.0,-459.5,-212.0,3.0,448.6666666666667,539.5640215334352,-58.0,165.0,388.0,702.0,1016.0,2,1,1,1,0,0.0891047929754926,0
badger;harry potter;ipod;microsoft;microsoft windows;windows 2000,badger,windows 2000,5,4,1,5.0,-40.4,18.18790807102345,-62.0,-54.0,-38.0,-32.0,-16.0,4.0,4.0,26.178871888095816,-24.0,-10.5,1.0,15.5,38.0,3,1,1,0,1,0.06234200991295806,1
solar system;earth;united states;puerto rico;baseball;babe ruth,solar system,babe ruth,5,4,1,5.0,-503.6,665.2524332913034,-1667.0,-371.0,-325.0,-123.0,-32.0,4.0,73.25,1084.5740715445243,-1342.0,-267.25,169.5,510.0,1296.0,1,1,1,1,2,0.06234064974996729,0
boundary waters canoe area wilderness;europe;soviet union;battle of stalingrad;tank;t-34,boundary waters canoe area wilderness,t-34,5,4,1,5.0,-319.6,402.5137264740173,-949.0,-499.0,-80.0,-48.0,-22.0,4.0,231.75,234.4701473535597,26.0,30.5,225.5,426.75,450.0,3,1,2,0,0,0.09002977494907013,1
augustine of hippo;thomas aquinas;animal;bird;passenger pigeon,augustine of hippo,passenger pigeon,4,4,1,4.0,-219.75,219.85203357409878,-513.0,-326.25,-161.0,-54.5,-44.0,3.0,-4.666666666666667,402.69881218267,-469.0,-131.5,206.0,227.5,249.0,1,1,0,1,2,0.09009588555894035,0
iceland hotspot;iceland;internet;microsoft;microsoft windows,iceland hotspot,microsoft windows,4,4,1,4.0,-106.0,50.4909232766973,-162.0,-141.0,-104.0,-69.0,-54.0,3.0,26.666666666666668,58.286647985051715,-28.0,-4.0,20.0,54.0,88.0,2,1,1,0,1,0.07957490985005167,0
iceland hotspot;iceland;internet;microsoft;microsoft windows,iceland hotspot,microsoft windows,4,4,1,4.0,-106.0,50.4909232766973,-162.0,-141.0,-104.0,-69.0,-54.0,3.0,26.666666666666668,58.286647985051715,-28.0,-4.0,20.0,54.0,88.0,3,0,2,0,0,0.07957490985005167,1
edwin of northumbria;ireland;united kingdom;atlantic ocean;tropical cyclone;hurricane katrina;meteorological history of hurricane katrina,edwin of northumbria,meteorological history of hurricane katrina,6,4,1,6.0,-366.1666666666667,355.4559982145,-1041.0,-394.75,-277.0,-154.0,-55.0,5.0,55.2,482.4362134002795,-710.0,76.0,92.0,193.0,625.0,4,0,3,0,0,0.060983781604047466,1
linguistics;philosophy;mathematics;science;chemistry;periodic table;bromine,linguistics,bromine,6,4,1,6.0,-176.33333333333334,41.86486195685669,-236.0,-198.25,-176.5,-152.5,-119.0,5.0,9.6,49.792569726817675,-38.0,-37.0,6.0,40.0,77.0,0,2,2,1,2,0.06098186693828142,0
fish;vertebrate;human;music,fish,tupac shakur,3,4,0,3.0,-156.33333333333334,89.14220848359845,-234.0,-205.0,-176.0,-117.5,-59.0,2.0,-87.5,41.71930009000631,-117.0,-102.25,-87.5,-72.75,-58.0,2,1,0,1,0,0.10557052180914614,1
behavioral finance;psychology;20th century;music,behavioral finance,garage (dance music),3,4,0,3.0,-197.0,133.63756956784272,-334.0,-262.0,-190.0,-128.5,-67.0,2.0,-61.5,290.62088706767105,-267.0,-164.25,-61.5,41.25,144.0,0,0,2,2,0,0.1054795503996226,0
"grand slam (tennis);tennis;cleveland, ohio;superman",grand slam (tennis),child,3,4,0,3.0,-70.0,17.05872210923198,-89.0,-77.0,-65.0,-60.5,-56.0,2.0,16.5,10.606601717798213,9.0,12.75,16.5,20.25,24.0,3,0,1,0,0,0.09626575761242284,1
gas metal arc welding;europe;united kingdom;tennis;davis cup;fed cup,gas metal arc welding,fed cup,5,4,1,5.0,-488.0,517.0473866097768,-1129.0,-959.0,-245.0,-54.0,-53.0,4.0,226.25,462.76875074562525,-170.0,-43.25,95.5,365.0,884.0,1,0,4,1,0,0.09627803940051029,0
gorilla;human;dna;protein;atom;chemical element;magnesium;calcium;periodic table;thallium,gorilla,thallium,9,4,1,9.0,-149.66666666666666,42.43819034784589,-235.0,-178.0,-145.0,-123.0,-97.0,8.0,4.125,62.39605642300527,-81.0,-34.5,-5.0,44.5,102.0,5,1,1,2,1,0.031959659894333116,1
optical fiber;maxwell's equations;james clerk maxwell;university of cambridge;united kingdom;united states dollar;united states;american civil war;slavery,optical fiber,rosa parks,8,4,0,8.0,-464.375,558.8245156448617,-1591.0,-581.75,-249.0,-87.25,-28.0,7.0,-17.428571428571427,840.8659935136033,-1243.0,-486.5,-15.0,477.5,1154.0,2,3,1,2,1,0.03195545964421798,0
mitochondrial eve;fossil;mineral;atom;technetium,mitochondrial eve,technetium,4,4,1,4.0,-107.75,39.978119015281344,-143.0,-134.0,-117.5,-91.25,-53.0,3.0,26.0,33.45145736735546,-12.0,13.5,39.0,45.0,51.0,3,0,0,1,1,0.07812282324074721,1
london;tide;ocean;whale;sperm whale,london,sperm whale,4,4,1,4.0,-84.0,42.481368465089105,-138.0,-100.5,-81.5,-65.0,-35.0,3.0,34.333333333333336,19.139836293274122,13.0,26.5,40.0,45.0,50.0,2,1,0,2,0,0.07813048735231284,0
voting;argentina;agriculture;food;vitamin;b vitamins,voting,b vitamins,5,4,1,5.0,-162.8,147.50152541584103,-402.0,-196.0,-118.0,-69.0,-29.0,4.0,41.75,200.1005996992513,-206.0,-21.5,44.5,107.75,284.0,3,1,0,0,2,0.06786363078831632,1
cotswolds;england;industrial revolution;united states;john f. kennedy;john f. kennedy assassination,cotswolds,john f. kennedy assassination,5,4,1,5.0,-609.8,611.9801467368039,-1609.0,-757.0,-352.0,-257.0,-74.0,4.0,170.75,1098.2736073796304,-1352.0,-129.5,389.0,689.25,1257.0,1,2,1,1,1,0.06785979224340408,0
great cormorant;north america;gulf of mexico;mississippi river;great lakes;lake superior;fresh water;river;canal;saint lawrence seaway;lake superior;hudson bay,great cormorant,lake powell,11,4,0,11.0,-102.0909090909091,115.17764934695839,-428.0,-117.0,-70.0,-37.0,-25.0,10.0,39.4,100.52219213243964,-50.0,-9.75,5.0,51.0,294.0,6,1,2,3,0,0.018488754144895918,1
"juice;new zealand;united states;florida;miami, florida;amtrak;jimmy carter;ronald reagan;20th century;cold war",juice,mars reconnaissance orbiter,9,4,0,9.0,-386.0,487.0705801010773,-1635.0,-393.0,-257.0,-125.0,-81.0,8.0,6.625,695.1673873453583,-1325.0,-104.0,5.5,191.0,1187.0,1,3,2,1,3,0.01853867607763376,0
geometry;symmetry;quantum mechanics;information;mass media;sport;olympic games;volleyball,geometry,volleyball,7,4,1,7.0,-89.71428571428571,36.20641879425196,-144.0,-110.0,-93.0,-69.0,-33.0,6.0,-18.5,45.350854457220535,-78.0,-47.75,-21.0,11.0,44.0,4,2,1,0,1,0.04528397209046222,1
"californium;u.s. state;united states;federal bureau of investigation;terrorism;september 11, 2001 attacks;islam",californium,cat stevens,6,4,0,6.0,-424.5,586.5443717230606,-1595.0,-341.0,-220.0,-99.0,-72.0,5.0,-48.4,991.2710527398649,-1496.0,-242.0,-27.0,269.0,1254.0,3,1,1,1,1,0.04527868012075858,0
chile;india;biodiversity;bird,chile,indian peafowl,3,4,0,3.0,-365.0,281.9858152460865,-681.0,-478.0,-275.0,-207.0,-139.0,2.0,203.0,479.4183976444792,-136.0,33.5,203.0,372.5,542.0,2,1,0,0,1,0.10904710502134468,1
cell (biology);human;world war ii;soviet union;ukraine,cell (biology),chernobyl disaster,4,4,0,4.0,-441.5,319.22458134256095,-886.0,-565.75,-346.5,-222.25,-187.0,3.0,-15.666666666666666,600.3410142022061,-699.0,-237.0,225.0,326.0,427.0,1,0,3,0,1,0.10915571805791381,0
ray of light;photography;light;telescope;optical telescope,ray of light,optical telescope,4,4,1,4.0,-68.0,38.7556447501522,-114.0,-89.25,-67.5,-46.25,-23.0,3.0,10.333333333333334,69.92376801441219,-33.0,-30.0,-27.0,32.0,91.0,1,0,2,1,1,0.07559223265933745,0
ray of light;photography;light;telescope;optical telescope,ray of light,optical telescope,4,4,1,4.0,-68.0,38.7556447501522,-114.0,-89.25,-67.5,-46.25,-23.0,3.0,10.333333333333334,69.92376801441219,-33.0,-30.0,-27.0,32.0,91.0,3,1,0,1,0,0.07559223265933745,1
