path,source_article,target_article,human_path_length,shortest_path_length,is_successful,top,center_top,center,center_bottom,bottom,count_images,path_seq_cosine_sim,path_target_cosine_sim,path_seq_boolean,path_target_boolean,seq_strictly_increasing,target_strictly_increasing,curv_feats_0,curv_feats_1,curv_feats_2,curv_feats_3,curv_feats_4,curv_feats_5,curv_feats_6,curv_feats_7,curv_feats_8,curv_feats_9,curv_feats_10,curv_feats_11,curv_feats_12,curv_feats_13,curv_feats_14,curv_feats_15,used_top,used_center_bottom,used_bottom,treatment_used_top,prop_scores_used_top,treatment_used_center_bottom,prop_scores_used_center_bottom,treatment_used_bottom,prop_scores_used_bottom,treatment_seq_strictly_increasing,prop_scores_seq_strictly_increasing,treatment_target_strictly_increasing,prop_scores_target_strictly_increasing
arctic monkeys;arctic circle;sun;star;sirius,arctic monkeys,sirius,4,4,1,1,2,2,0,0,1,"[0.17067834775513419, 0.12006295868802411, 0.35786187768444117, 0.2702596285601894]","[0.011248178344864497, 0.027271268360149793, 0.08485259975601976, 0.2702596285601894, 0.9999999999999991]","[False, True, False]","[True, True, True, True]",False,True,4.0,-119.5,73.41434918778936,-194.0,-175.25,-121.0,-65.25,-42.0,3.0,-10.333333333333334,127.71974527587084,-152.0,-63.5,25.0,60.5,96.0,0,0,0,0,0.10102343575422892,0,0.08373949667145758,0,0.06713106036510136,0,0.14463310609037816,1,0.6806863143938835
proton;earth's atmosphere;evolution;fish;whale shark;shark;cookiecutter shark,proton,cookiecutter shark,6,4,1,2,1,1,1,2,1,"[0.04483003036634017, 0.05890023320823841, 0.06889698201146584, 0.14220433716838257, 0.6094239201003544, 0.5434000438324732]","[0.003961284608535326, 0.00821835126051594, 0.01853233536643715, 0.14675905511612095, 0.4980569621541615, 0.5434000438324732, 0.9999999999999994]","[True, True, True, True, False]","[True, True, True, True, True, True]",False,True,6.0,-99.5,74.44125200451695,-215.0,-136.75,-93.5,-43.5,-17.0,5.0,17.4,107.52581085488264,-74.0,-46.0,-17.0,26.0,198.0,0,0,0,0,0.06225905038495693,0,0.045875971052334666,0,0.04825427678849278,0,0.015685390934448765,1,0.264488350775099
ice age;north america;rocky mountains;united states;world war ii;battle of the bulge;united states,ice age,medal of honor,6,4,0,1,2,0,1,3,5,"[0.047311920989114985, 0.10395899460196834, 0.16866687502334887, 0.24978762959933554, 0.4816940047440535, 0.10977294160229267]","[0.06270761861439167, 0.3308730019703287, 0.16866687502334887, 0.9999999999999998, 0.24978762959933554, 0.10977294160229267, 0.9999999999999998]","[True, True, True, True, False]","[True, False, True, False, False, True]",False,False,6.0,-814.8333333333334,688.6884394751132,-1592.0,-1451.0,-737.5,-200.25,-112.0,5.0,-231.0,1152.941021908753,-1480.0,-1464.0,320.0,549.0,920.0,0,0,0,0,0.03271142283436145,0,0.06981327163939764,0,0.0627682010833655,0,0.013320971549941022,0,0.17667085959194992
wayne rooney;england;christopher wren;magnetism;electrical resistance,wayne rooney,electrical resistance,4,4,1,0,1,1,0,3,4,"[0.09157021382589575, 0.06806986241304017, 0.01237131606822347, 0.10946690359447078]","[0.0041310054058913874, 0.014105968905993435, 0.004232434080003437, 0.10946690359447078, 1.0000000000000016]","[False, False, True]","[True, False, True, True]",False,False,4.0,-293.0,319.27000067863145,-765.0,-331.5,-173.0,-134.5,-61.0,3.0,234.66666666666663,299.38826518975884,28.0,63.0,98.0,338.0,578.0,0,0,1,0,0.09405975086680397,0,0.09334621330217222,1,0.096934300949272,0,0.1436084660357572,0,0.6509120386861269
matilda of boulogne;france;atlantic ocean;dolphin;orca,matilda of boulogne,orca,4,4,1,1,1,0,1,2,3,"[0.022215657895270087, 0.13318488600393127, 0.04277465317762995, 0.1724229829575962]","[0.0032137502754423022, 0.027504296861504095, 0.052724335268652084, 0.1724229829575962, 1.000000000000001]","[True, False, True]","[True, True, True, True]",False,True,4.0,-372.0,410.67586569783555,-961.0,-490.0,-243.0,-125.0,-41.0,3.0,306.6666666666667,280.35215949468505,112.0,146.0,180.0,404.0,628.0,0,0,0,0,0.08618464181192359,0,0.09262539828451785,0,0.09152083749986253,0,0.13170109201031585,1,0.6540444891584553
europium;europe;hawk;bird of prey;kite (bird);red kite,europium,red kite,5,4,1,1,0,0,3,2,3,"[0.018844661672124292, 0.01142645807726863, 0.1684691178285687, 0.10314296048238353, 0.5108147286209763]","[0.00823506698112082, 0.04788040750900932, 0.04914738179321338, 0.20942154797513757, 0.5108147286209763, 0.9999999999999987]","[False, True, False, True]","[True, True, True, True, True]",False,True,5.0,-238.0,405.17156859779783,-952.0,-179.0,-35.0,-15.0,-9.0,4.0,235.75,363.4963319393104,6.0,16.5,82.0,301.25,773.0,0,1,0,0,0.07096834454492694,1,0.07785793669370938,0,0.0783862246452985,0,0.037618646842113614,1,0.4200272628938263
neon;volcano;plate tectonics;africa;lion;zebra;plains zebra,neon,plains zebra,6,4,1,4,0,2,0,1,3,"[0.029151056289721932, 0.22161576094034172, 0.058802345913678875, 0.08824656998322776, 0.049161085266737646, 0.7855859288817388]","[0.002145359826283893, 0.006987948645751077, 0.013165020490302428, 0.03675154920348393, 0.036607074932895375, 0.7855859288817388, 0.9999999999999998]","[True, False, True, False, True]","[True, True, True, False, True, True]",False,False,6.0,-186.33333333333337,184.2776890094584,-515.0,-240.5,-135.5,-68.0,-11.0,5.0,28.2,256.6684631971758,-396.0,33.0,40.0,219.0,245.0,1,0,0,1,0.06178671786738966,0,0.04430774314166965,0,0.036676957949694965,0,0.015527918443314817,0,0.2769236079079394
dysprosium;france;united states;poetry of the united states;literature;graphic novel,dysprosium,graphic novel,5,4,1,1,2,1,1,1,4,"[0.016113395791542955, 0.25885041069879217, 0.11836034366262026, 0.2312577775824159, 0.15616780292847668]","[0.005343216872785262, 0.02751993413072868, 0.05644872488443545, 0.04366323911889583, 0.15616780292847668, 1.0000000000000018]","[True, False, True, False]","[True, True, False, True, True]",False,False,5.0,-616.8,677.3678468897089,-1634.0,-981.0,-299.0,-111.0,-59.0,4.0,230.5,823.4401415201147,-653.0,-124.25,120.0,474.75,1335.0,0,0,0,0,0.05608931609834612,0,0.06439028690904554,0,0.05805391876151453,0,0.01780653969186481,0,0.3433254463982293
elementary arithmetic;mathematics;isaac newton;westminster abbey;henry viii of england;church of england,elementary arithmetic,church of england,5,4,1,1,2,1,1,1,4,"[0.03839283938868095, 0.09962401039498378, 0.05921990000141873, 0.19319130110202481, 0.1793024978926806]","[0.004691605145364766, 0.01604448278795088, 0.028170356231494508, 0.09781757028451768, 0.1793024978926806, 1.0000000000000009]","[True, False, True, False]","[True, True, True, True, True]",False,True,5.0,-138.2,11.38859078200635,-155.0,-141.0,-138.0,-133.0,-124.0,4.0,4.25,12.446552400832395,-14.0,2.5,8.5,10.25,14.0,0,0,0,0,0.08025832286926683,0,0.08604978451712599,0,0.0681217008275625,0,0.06571151604959165,1,0.3565198166760688
ship;20th century;technology;computer;internet;world wide web;google;gmail,ship,gmail,7,4,1,5,0,1,1,1,4,"[0.04568647257611673, 0.13216029834772247, 0.10778705423921779, 0.15508945232527868, 0.3934715901446399, 0.08608079564840988, 0.41028130832026033]","[0.0061036820584928365, 0.009960172934035226, 0.020837799568278602, 0.029435142939120574, 0.07827550601849322, 0.07853038386322857, 0.41028130832026033, 1.0000000000000013]","[True, False, True, True, False, True]","[True, True, True, True, True, True, True]",False,True,7.0,-125.28571428571428,103.11597723876142,-322.0,-158.0,-123.0,-46.5,-23.0,6.0,49.833333333333336,70.06116375472696,-32.0,12.75,28.0,86.75,161.0,1,0,0,1,0.04672080147950034,0,0.037505325423901885,0,0.03854147914199551,0,0.00567889084718624,1,0.11885352120637867
howland island;united states;united kingdom;england;london;new york city,howland island,london zoo,5,4,0,0,1,0,4,1,6,"[0.137628106257652, 0.2907991039224705, 0.5659328445737464, 0.2820032973974934, 0.24005571446056062]","[0.06210282928650402, 0.2995141369132943, 0.1571694531416799, 0.1214413050395131, 0.24005571446056062, 0.9999999999999997]","[True, True, False, False]","[True, False, False, True, True]",False,False,5.0,-982.8,443.43116714998735,-1559.0,-1264.0,-917.0,-757.0,-417.0,4.0,285.5,86.78133439859057,160.0,261.25,317.5,341.75,347.0,0,1,0,0,0.06533306832788123,1,0.2683523136729073,0,0.20302940089844837,0,0.14094020991987422,0,0.11878122893421571
the cat in the hat;latin;science;nature;pollution;ozone,the cat in the hat,ozone,5,4,1,2,2,1,0,1,3,"[0.0427332837388906, 0.06425253347344415, 0.14124730223823503, 0.13766442595718228, 0.1238615783047367]","[0.004094898542736059, 0.008958440254502925, 0.02862074211444501, 0.08547883530807193, 0.1238615783047367, 1.0000000000000009]","[True, True, False, False]","[True, True, True, True, True]",False,True,5.0,-174.0,154.50242716540086,-443.0,-162.0,-113.0,-81.0,-71.0,4.0,93.0,133.80832061821368,-32.0,23.5,61.5,131.0,281.0,0,0,0,0,0.07518249904469251,0,0.07832930652897589,0,0.06727147840064174,0,0.05147232056987769,1,0.39587314224806247
gnome;microsoft windows;microsoft;united states;france;middle ages;5th century,gnome,5th century,6,4,1,2,2,1,2,0,6,"[0.0621225770277103, 0.4387382653078549, 0.04617786869458176, 0.25885041069879217, 0.15428185031510044, 0.09278634243865592]","[0.0016572735652178303, 0.001192822737530515, 0.003546191450127356, 0.024934431180869153, 0.03172072504239366, 0.09278634243865592, 0.9999999999999996]","[True, False, True, False, False]","[False, True, True, True, True, True]",False,False,6.0,-559.5,670.8253871164984,-1562.0,-1018.75,-221.5,-69.25,-49.0,5.0,-13.8,906.695759337166,-1513.0,3.0,201.0,311.0,929.0,0,0,0,0,0.0484209659023664,0,0.07786352608366229,0,0.018337930112551963,0,0.0056575758513565085,0,0.1809012398086794
australian english;mass media;film;animation;the lion king,australian english,darth vader,4,4,0,2,0,1,0,2,2,"[0.06770875296331186, 0.23066968455696998, 0.3288786045253524, 0.09326579797313383]","[0.015154773023435507, 0.05317312304762215, 0.15302796191567672, 0.09326579797313383, 0.9999999999999987]","[True, True, False]","[True, True, False, True]",False,False,4.0,-76.25,77.42684719570252,-186.0,-99.0,-55.5,-32.75,-8.0,3.0,20.666666666666668,130.93637131573996,-116.0,-41.5,33.0,89.0,145.0,0,0,0,0,0.10307550596095329,0,0.0822723532394071,0,0.06723865044867991,0,0.14254819093995139,0,0.7038885446749198
great lakes;united states;middle east;israel,great lakes,humus,3,4,0,1,1,0,1,1,4,"[0.13497733312301355, 0.15092532280258622, 0.28900193628803444]","[0.02623809727920389, 0.14678109237353254, 0.28900193628803444, 1.0000000000000018]","[True, True]","[True, True, True]",True,True,3.0,-796.6666666666666,677.7317561788981,-1572.0,-1036.5,-501.0,-409.0,-317.0,2.0,627.5,627.2037149124676,184.0,405.75,627.5,849.25,1071.0,0,0,0,0,0.08734593182645786,0,0.33440239239194536,0,0.15756411052557517,1,0.5259430219169193,1,0.7039844462260008
16th century;india;indian independence movement;sardar vallabhbhai patel;political integration of india,16th century,political integration of india,4,4,1,0,1,1,1,2,3,"[0.03662369965109816, 0.5029239202501894, 0.23301265462305545, 0.6348150466127289]","[0.021856216846222094, 0.4516315726612997, 0.391259658814103, 0.6348150466127289, 1.0000000000000016]","[True, False, True]","[True, False, True, True]",False,False,4.0,-221.0,321.10538249407574,-700.0,-253.75,-80.5,-47.75,-23.0,3.0,225.66666666666663,319.95207974528523,33.0,41.0,49.0,322.0,595.0,0,0,0,0,0.09479681194166817,0,0.07978030165719893,0,0.0839615867214353,0,0.12471749978013302,0,0.6792647768187771
the cat in the hat;dr. seuss;united states;volcano;ozone,the cat in the hat,ozone,4,4,1,2,0,0,3,0,2,"[0.5115110409541007, 0.047596508782515146, 0.06750321276337654, 0.04535384520358855]","[0.004094898542736059, 0.00535975516464445, 0.019516120550129985, 0.04535384520358855, 1.0000000000000009]","[False, True, False]","[True, True, True, True]",False,True,4.0,-522.0,719.3080007896478,-1567.0,-707.5,-259.0,-73.5,-3.0,3.0,-31.333333333333332,1389.5039882394483,-1564.0,-620.0,324.0,735.0,1146.0,0,1,0,0,0.08035110758632193,1,0.10082702662430068,0,0.04543998698874448,0,0.10487876231324814,1,0.8034742285487637
parliament of the united kingdom;20th century;19th century;australia;emu;cassowary,parliament of the united kingdom,cassowary,5,4,1,2,1,2,0,1,3,"[0.03898640427089984, 0.41310306308209394, 0.07909191997311586, 0.14200878318806928, 0.1471945261512904]","[0.0066026730801304655, 0.013436522068320769, 0.011678836610272927, 0.07473446872040175, 0.1471945261512904, 0.9999999999999998]","[True, False, True, True]","[True, False, True, True, True]",False,False,5.0,-313.6,280.6836297328364,-728.0,-377.0,-355.0,-92.0,-16.0,4.0,84.75,410.37655472342306,-351.0,-104.25,27.0,216.0,636.0,0,0,0,0,0.06520840164265586,0,0.02925781218093173,0,0.05655857232375208,0,0.02421118409028415,0,0.5615404604772236
hydrology;water;oxygen;list of elements by name;praseodymium,hydrology,praseodymium,4,4,1,2,0,2,0,1,4,"[0.21099959822368924, 0.1301870139539157, 0.06024338127057212, 0.116572405055601]","[0.009899830085599958, 0.029781026627119237, 0.07114947041979337, 0.116572405055601, 0.9999999999999996]","[False, False, True]","[True, True, True, True]",False,True,4.0,-204.75,94.33053588313808,-334.0,-244.0,-181.0,-141.75,-123.0,3.0,30.333333333333332,153.06970089907844,-120.0,-47.5,25.0,105.5,186.0,0,0,0,0,0.09727359015822122,0,0.09757397035525978,0,0.08205140480032247,0,0.15505922074470435,1,0.5934187075160593
body mass index;rugby football;england;english language;poetry;literacy,body mass index,e. e. cummings,5,4,0,2,1,3,0,0,3,"[0.00888290218075408, 0.15936147462745487, 0.24744514090634143, 0.15797863456894465, 0.03947255741098363]","[0.014820757771374562, 0.009925277702192373, 0.06276615410698419, 0.08871892258546876, 0.03947255741098363, 1.0000000000000002]","[True, True, False, False]","[False, True, True, False, True]",False,False,5.0,-364.2,369.4051975811927,-768.0,-757.0,-200.0,-76.0,-20.0,4.0,-14.0,541.7582486681675,-737.0,-192.5,56.5,235.0,568.0,0,0,0,0,0.07102557955194072,0,0.06737494394993188,0,0.03944197049432551,0,0.03285860371917222,0,0.43572223602336757
radish;harry potter;basketball;sport,radish,autorack,3,4,0,2,1,0,1,0,2,"[0.04110748323690584, 0.022023596231839235, 0.10761513649504273]","[0.009268639323968061, 0.01940363043783473, 0.10761513649504273, 0.9999999999999983]","[False, True]","[True, True, True]",False,True,3.0,-79.0,42.579337712087536,-115.0,-102.5,-90.0,-61.0,-32.0,2.0,-29.0,76.36753236814714,-83.0,-56.0,-29.0,-2.0,25.0,1,0,0,1,0.13482599379898771,0,0.10407823929283122,0,0.08564493638654871,0,0.34231971384208615,1,0.8431734578329683
gliding;mathematics;computer science;programming language,gliding,imperative programming,3,4,0,1,0,0,1,2,1,"[0.01774733546372643, 0.22923957168989784, 0.2683700335383783]","[0.014499562220378863, 0.05361617556389064, 0.2683700335383783, 1.0000000000000013]","[True, True]","[True, True, True]",True,True,3.0,-101.0,70.0,-171.0,-136.0,-101.0,-66.0,-31.0,2.0,70.0,0.0,70.0,70.0,70.0,70.0,70.0,0,0,1,0,0.12761497131553398,0,0.11463164901684937,1,0.08972104394437246,1,0.35299511131388595,1,0.835779278823204
ringed plover;europe;earth;planet;mars;mars exploration rover,ringed plover,mars exploration rover,5,4,1,1,1,0,4,0,4,"[0.05613523838605637, 0.08556400889779398, 0.27185376332025557, 0.20397611311183797, 0.3260064084106649]","[0.005339708730849475, 0.015363678223657433, 0.10990450625492391, 0.055088010702860485, 0.3260064084106649, 0.9999999999999988]","[True, True, False, True]","[True, True, False, True, True]",False,False,5.0,-344.2,364.0634560073284,-944.0,-426.0,-192.0,-94.0,-65.0,4.0,219.75,216.30591762594017,29.0,80.75,166.0,305.0,518.0,0,1,0,0,0.06622714451015169,1,0.09299962143421668,0,0.07275254224475215,0,0.0468572853499362,0,0.34560777931240627
m25 motorway;london;education;mathematics;euclid;fundamental theorem of arithmetic,m25 motorway,fundamental theorem of arithmetic,5,4,1,1,0,1,2,2,4,"[0.24772635466233117, 0.0337319648586461, 0.08258570710926162, 0.19575690096684265, 0.1389648088411168]","[0.006675299934285902, 0.011465895080023311, 0.01645776835499007, 0.08733803867455454, 0.1389648088411168, 1.0000000000000004]","[False, True, True, False]","[True, True, True, True, True]",False,True,5.0,-213.0,228.44911906155383,-602.0,-188.0,-172.0,-90.0,-13.0,4.0,147.25,194.90061569938663,-16.0,53.75,87.5,181.0,430.0,0,0,0,0,0.07467301526404019,0,0.06247407142953817,0,0.07116644124605799,0,0.04401495191932686,1,0.4863583384967009
"astatine;isaac asimov;united states;west virginia;u.s. state;louisville, kentucky",astatine,"louisville, kentucky",5,4,1,2,1,1,1,1,4,"[0.04805857684263771, 0.039836707934944454, 0.19679426127348393, 0.2649938012899679, 0.08458378264572021]","[0.0062334804031102566, 0.010078739407987664, 0.08554215034968814, 0.06580268767947198, 0.08458378264572021, 0.9999999999999998]","[False, True, True, False]","[True, True, False, True, True]",False,False,5.0,-421.6,660.1176410307485,-1584.0,-326.0,-110.0,-59.0,-29.0,4.0,-7.5,1161.8406373796136,-1555.0,-350.5,133.5,476.5,1258.0,0,0,0,0,0.06724139764262141,0,0.07264816650154941,0,0.044576905679448206,0,0.019581121215704156,0,0.4861359191211785
landscape;english language;esperanto;united nations;human rights;convention on the rights of the child,landscape,convention on the rights of the child,5,4,1,2,1,0,1,2,1,"[0.0322170374986997, 0.1585584594780677, 0.037157325039559305, 0.2529931750613338, 0.30553175331891047]","[0.012206874798196574, 0.03732142701939196, 0.012964833104502272, 0.21475768524838748, 0.30553175331891047, 0.9999999999999996]","[True, False, True, True]","[True, False, True, True, True]",False,False,5.0,-274.0,216.86631827003472,-601.0,-383.0,-182.0,-131.0,-73.0,4.0,132.0,298.32309107185563,-252.0,18.75,155.0,268.25,470.0,0,0,0,0,0.071218559722622,0,0.07858972577682512,0,0.0613785915028686,0,0.04876151513708642,0,0.4152070897167729
mongol empire;europe;germany;wolfgang amadeus mozart;the magic flute,mongol empire,the magic flute,4,4,1,1,1,0,2,1,5,"[0.0773395872704243, 0.28022349835787147, 0.04236650227686185, 0.12268812432789057]","[0.005009792736125548, 0.007983188294818836, 0.014926228590960803, 0.12268812432789057, 0.9999999999999996]","[True, False, True]","[True, True, True, True]",False,True,4.0,-524.0,475.08244898473504,-961.0,-915.25,-551.0,-159.75,-33.0,3.0,309.3333333333333,340.89930086952853,61.0,115.0,169.0,433.5,698.0,0,0,0,0,0.07337777600569587,0,0.039729845819740865,0,0.07007914199706908,0,0.08740679707818243,1,0.7546782837505355
"pterosaur;cretaceous;gulf of mexico;hurricane katrina;levee failures in greater new orleans, 2005",pterosaur,"levee failures in greater new orleans, 2005",4,4,1,0,1,3,1,0,3,"[0.20577420141362054, 0.05109644027569531, 0.2964908782542528, 0.4109710121674749]","[0.01291662100619604, 0.009118577662616598, 0.08725438392514179, 0.4109710121674749, 1.0000000000000007]","[False, True, True]","[False, True, True, True]",False,False,4.0,-83.75,26.23451924468981,-106.0,-106.0,-87.0,-64.75,-55.0,3.0,17.0,19.313207915827967,0.0,6.5,13.0,25.5,38.0,0,0,0,0,0.10247350813233042,0,0.0890134170757634,0,0.0724129237872144,0,0.15288304409411002,0,0.6507208770115672
novel;latin;science;chemistry;computational chemistry,novel,computational chemistry,4,4,1,1,1,0,2,1,4,"[0.10705280466553706, 0.06425253347344415, 0.12308299063279333, 0.40430905800356826]","[0.014759323314844006, 0.01955669041070795, 0.08144221407216472, 0.40430905800356826, 0.9999999999999982]","[False, True, True]","[True, True, True, True]",False,True,4.0,-207.0,198.01178416111165,-496.0,-245.5,-140.5,-102.0,-51.0,3.0,148.33333333333334,161.27719408934834,43.0,55.5,68.0,201.0,334.0,0,0,0,0,0.09740714270915131,0,0.09188983019053004,0,0.08535162129215164,0,0.14711823578454347,1,0.6527175857040658
winfield scott hancock;american civil war;liverpool;germany;europe;forest,winfield scott hancock,european goldfinch,5,4,0,2,3,0,1,0,4,"[0.22233265219332818, 0.03158937428734263, 0.051343274368453234, 0.28022349835787147, 0.09986773597228123]","[0.006574402800315773, 0.015241618311867875, 0.009088088990778214, 0.026556273017971414, 0.09986773597228123, 1.0]","[False, True, True, False]","[True, False, True, True, True]",False,False,5.0,-468.4,447.6436082420925,-1100.0,-780.0,-222.0,-152.0,-88.0,4.0,-17.5,672.0662169756787,-692.0,-413.0,-128.0,267.5,878.0,0,0,0,0,0.07164671417898069,0,0.06907532376931759,0,0.06888029041658328,0,0.030187316828214815,0,0.30362488302392726
asparagus;folic acid;salt;calcium;periodic table;dubnium,asparagus,dubnium,5,4,1,2,0,3,0,1,2,"[0.06568000159444681, 0.103753632842124, 0.050742481712055004, 0.11359119618454783, 0.23778140260258762]","[0.003894649171877844, 0.009400332179415797, 0.01589088857417007, 0.05142728794452903, 0.23778140260258762, 0.9999999999999972]","[True, False, True, True]","[True, True, True, True, True]",False,True,5.0,-104.8,49.06831971853122,-150.0,-139.0,-110.0,-100.0,-25.0,4.0,-28.5,37.403208418530085,-75.0,-48.75,-25.0,-4.75,11.0,0,0,0,0,0.08711705391882833,0,0.07346346984086065,0,0.06403490569113905,0,0.06212255922947072,1,0.45617766642686786
tarragon;north america;united states;terrorism;pan am flight 103,tarragon,pan am flight 103,4,4,1,0,0,2,3,0,2,"[0.05156038443863796, 0.3308730019703287, 0.10885647393038878, 0.12352890375096086]","[0.00821606689728175, 0.03367706678622047, 0.10359238514279846, 0.12352890375096086, 0.9999999999999972]","[True, False, True]","[True, True, True, True]",False,True,4.0,-605.5,700.5219482642924,-1626.0,-720.0,-381.5,-267.0,-33.0,3.0,128.33333333333334,1254.623582327916,-1208.0,-448.0,312.0,796.5,1281.0,0,1,0,0,0.08781973817018722,1,0.10168435282132983,0,0.08621843732059387,0,0.13725025924696888,1,0.7955626867968674
batman;chemistry;ice;soil,batman,banana,3,4,0,2,1,1,0,0,3,"[0.009190633617316353, 0.06358889916656227, 0.03363986397331706]","[0.005340370687588791, 0.06122153157578148, 0.03363986397331706, 1.0000000000000004]","[True, False]","[True, False, True]",False,False,3.0,-87.0,2.0,-89.0,-88.0,-87.0,-86.0,-85.0,2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0,0,1,0.13051117831912884,0,0.12295997996377339,0,0.09302504191427097,0,0.3621829380484294,0,0.795471303190664
black seminoles;north america;europe;renaissance;science;mathematics;trigonometry,black seminoles,trigonometry,6,4,1,3,1,0,1,2,6,"[0.05214935116864581, 0.17836530050620195, 0.11019835254880725, 0.09694663652282556, 0.34598846753432894, 0.09246121629389102]","[0.0050649291237561634, 0.006870333120548417, 0.008052997338389847, 0.009324243880224344, 0.03146656355829141, 0.09246121629389102, 0.9999999999999994]","[True, False, False, True, False]","[True, True, True, True, True, True]",False,True,6.0,-360.1666666666667,337.07768639687004,-1008.0,-381.75,-237.5,-190.75,-73.0,5.0,68.6,468.7134519085195,-592.0,7.0,83.0,116.0,729.0,0,0,0,0,0.057492211315562945,0,0.0655085913974936,0,0.05778513114308823,0,0.0103134535592876,1,0.208285678032789
musical instrument;piano;18th century;19th century;jane austen;england;george eliot,musical instrument,george eliot,6,4,1,0,1,3,1,2,5,"[0.19853059368069656, 0.027368993084942846, 0.4299071898035087, 0.08414963325812039, 0.05024676311314785, 0.0806368067763772]","[0.003101476829488178, 0.011462093211732773, 0.036688132070809204, 0.057544364969522435, 0.08735907174083848, 0.0806368067763772, 1.0000000000000022]","[False, True, False, False, True]","[True, True, True, True, False, True]",False,False,6.0,-294.3333333333333,254.92168732115883,-772.0,-331.25,-185.0,-180.5,-65.0,5.0,-23.0,443.37850647048737,-590.0,-191.0,-123.0,197.0,592.0,0,0,0,0,0.06440305983910222,0,0.044649736365773705,0,0.05810401772924051,0,0.012855028688043042,0,0.20567961061297535
typhoon ewiniar (2006);japan;united states;film;silent film;charlie chaplin,typhoon ewiniar (2006),charlie chaplin,5,4,1,1,2,1,1,1,3,"[0.06588749917562343, 0.21683861812763297, 0.08152817329194119, 0.4355725684893608, 0.14383581612012836]","[0.004377951839733978, 0.017325826853242642, 0.043192252958608394, 0.15628233612141657, 0.14383581612012836, 0.9999999999999984]","[True, False, True, False]","[True, True, True, False, True]",False,False,5.0,-541.0,666.4611766637273,-1647.0,-583.0,-432.0,-26.0,-17.0,4.0,141.5,947.4789355618062,-1064.0,-259.25,207.5,608.25,1215.0,0,0,0,0,0.04860318940754958,0,0.02666239551980862,0,0.04044526718839295,0,0.012898359863832597,0,0.5529876708567342
automobile;united states;computer;microsoft windows;windows xp,automobile,windows xp,4,4,1,0,2,1,0,2,4,"[0.0909640585292997, 0.036229024125313446, 0.10992155644157027, 0.7585308800280751]","[0.025438573491302897, 0.029308200341767333, 0.11847913534197434, 0.7585308800280751, 0.9999999999999984]","[False, True, True]","[True, True, True, True]",False,True,4.0,-515.0,727.0135257797249,-1580.0,-679.25,-228.0,-63.75,-24.0,3.0,518.6666666666666,603.8909945787677,53.0,177.5,302.0,751.5,1201.0,0,0,0,0,0.07188204496960134,0,0.08839529996431168,0,0.0886522487800596,0,0.09891088230142187,1,0.6605984146956251
earl of shaftesbury;british isles;ancient greece;renaissance;architecture;aesthetics;symmetry,earl of shaftesbury,symmetry,6,4,1,1,2,0,3,1,5,"[0.019769900511366345, 0.05905578331026702, 0.09095944488724887, 0.1162276796816661, 0.21947209951986432, 0.09219801393520977]","[0.0012026144774543454, 0.015210467230837259, 0.016045404296126293, 0.01952735052686008, 0.05595724768032292, 0.09219801393520977, 0.9999999999999988]","[True, True, True, True, False]","[True, True, True, True, True, True]",False,True,6.0,-130.83333333333334,70.9377661522173,-240.0,-174.25,-109.0,-74.5,-68.0,5.0,1.2,95.97239186349374,-166.0,8.0,43.0,55.0,66.0,0,0,0,0,0.06181502118972922,0,0.06130251512157366,0,0.04376164041246073,0,0.019600764130829798,1,0.223231900117397
war of the league of cambrai;henry viii of england;real tennis;20th century;united states;sport;china,war of the league of cambrai,tiger woods,6,4,0,3,0,2,2,0,4,"[0.09896324279815034, 0.1114267901661295, 0.03918655922628516, 0.2029312432823103, 0.08507289258242368, 0.07345274362852353]","[0.02974782359713253, 0.0259154074595314, 0.02311465688525579, 0.09483905042703565, 0.13939169431433518, 0.07345274362852353, 1.0000000000000013]","[True, False, True, False, False]","[False, False, True, True, False, True]",False,False,6.0,-494.6666666666667,587.9318554617249,-1642.0,-470.5,-339.5,-147.0,-50.0,5.0,-84.2,929.822671265871,-1318.0,-274.0,-154.0,38.0,1287.0,0,0,0,0,0.051973513250061554,0,0.029713955089505282,0,0.048891954702039,0,0.002805581316641711,0,0.22321692660554734
edward jenner;england;stephen hawking;sulfuric acid;hydrogen;periodic table;neptunium,edward jenner,neptunium,6,4,1,1,1,3,1,1,5,"[0.03961243789230081, 0.043875466208217036, 0.019012143566819985, 0.2290883358075808, 0.17022968363641197, 0.15140877263336805]","[0.00670564225063506, 0.010825538014465534, 0.00889019384764478, 0.022888887342785998, 0.0760002658137978, 0.15140877263336805, 1.0000000000000033]","[True, False, True, False, False]","[True, False, True, True, True, True]",False,False,6.0,-252.83333333333337,248.60926504590827,-753.0,-193.5,-173.5,-148.25,-77.0,5.0,122.0,263.4606232437781,-120.0,21.0,33.0,106.0,570.0,0,0,0,0,0.05891281979733753,0,0.061415377573390176,0,0.07138706595152575,0,0.013876950174879032,0,0.20419281520791327
