path,source_article,target_article,human_path_length,shortest_path_length,is_successful,top,center_top,center,center_bottom,bottom,count_images,path_seq_cosine_sim,path_target_cosine_sim,path_seq_boolean,path_target_boolean,seq_strictly_increasing,target_strictly_increasing,curv_feats_0,curv_feats_1,curv_feats_2,curv_feats_3,curv_feats_4,curv_feats_5,curv_feats_6,curv_feats_7,curv_feats_8,curv_feats_9,curv_feats_10,curv_feats_11,curv_feats_12,curv_feats_13,curv_feats_14,curv_feats_15,used_top,used_center_bottom,used_bottom,treatment_used_top,prop_scores_used_top
virgil;astronomy;physics;atom,virgil,isospin,3,4,0,1,0,0,1,2,2,"[0.015181153646024402, 0.17398370472892347, 0.15184123016060683]","[0.005749477800579082, 0.09667762737121319, 0.15184123016060683, 1.0000000000000007]","[True, False]","[True, True, True]",False,True,3.0,-166.0,39.61060464067672,-201.0,-187.5,-174.0,-148.5,-123.0,2.0,-25.5,74.24621202458749,-78.0,-51.75,-25.5,0.75,27.0,0,0,1,0,0.13066032969609973
crown jewels of the united kingdom;montreal;university;library,crown jewels of the united kingdom,ceratopsidae,3,4,0,2,1,0,1,0,2,"[0.027800704546891878, 0.04437023255654108, 0.06629250046373926]","[0.013925010706533444, 0.027405856173376864, 0.06629250046373926, 1.0000000000000007]","[True, True]","[True, True, True]",True,True,3.0,-100.33333333333331,47.64801499887832,-154.0,-119.0,-84.0,-73.5,-63.0,2.0,10.5,113.84419177103416,-70.0,-29.75,10.5,50.75,91.0,1,0,0,1,0.1309178098979336
ascii;computer;television;dvd,ascii,h.d.,3,4,0,1,1,1,0,1,2,"[0.06857553296568475, 0.11320529242544901, 0.13724242028925354]","[0.015141209670045671, 0.053832470486233186, 0.13724242028925354, 1.0000000000000029]","[True, True]","[True, True, True]",True,True,3.0,-121.33333333333331,61.329710037903595,-192.0,-141.0,-90.0,-86.0,-82.0,2.0,4.0,149.90663761154806,-102.0,-49.0,4.0,57.0,110.0,0,0,0,0,0.1308291818202776
aristotle;government;democracy;united states;president of the united states;james monroe,aristotle,james monroe,5,4,1,2,0,2,2,0,6,"[0.03638927979651288, 0.2769124586508011, 0.16732170862500673, 0.3235514638662403, 0.20187859608089465]","[0.00925015374681955, 0.029987817501401164, 0.04634856511341672, 0.12169290918743639, 0.20187859608089465, 1.000000000000002]","[True, False, True, False]","[True, True, True, True, True]",False,True,5.0,-491.4,632.5352164109125,-1593.0,-455.0,-179.0,-163.0,-67.0,4.0,24.0,1071.2820979244138,-1414.0,-365.5,186.0,575.5,1138.0,0,0,0,0,0.06912600502262402
aristotle;government;democracy;united states;president of the united states;james monroe,aristotle,james monroe,5,4,1,4,0,1,0,1,6,"[0.03638927979651288, 0.2769124586508011, 0.16732170862500673, 0.3235514638662403, 0.20187859608089465]","[0.00925015374681955, 0.029987817501401164, 0.04634856511341672, 0.12169290918743639, 0.20187859608089465, 1.000000000000002]","[True, False, True, False]","[True, True, True, True, True]",False,True,5.0,-491.4,632.5352164109125,-1593.0,-455.0,-179.0,-163.0,-67.0,4.0,24.0,1071.2820979244138,-1414.0,-365.5,186.0,575.5,1138.0,1,0,0,1,0.06912600502262402
soviet union;british empire;australia;grand slam (tennis);tennis;boris becker;hopman cup,soviet union,hopman cup,6,4,1,4,0,1,0,2,5,"[0.1263967025843559, 0.1775791933070099, 0.10915601332088265, 0.31693575102004495, 0.2277223203909377, 0.163017267821379]","[0.020527829763843368, 0.031225408117551343, 0.09948761881095977, 0.11762613922076769, 0.265051363833483, 0.163017267821379, 0.9999999999999983]","[True, False, True, False, False]","[True, True, True, True, False, True]",False,False,6.0,-195.0,249.8039231077046,-690.0,-179.5,-96.0,-57.5,-36.0,5.0,33.8,379.52694239012857,-485.0,11.0,14.0,42.0,587.0,1,0,0,1,0.05865820470482598
wave;earthquake;tsunami;india;united arab emirates;middle east;fertile crescent,wave,fertile crescent,6,4,1,1,1,1,2,2,3,"[0.06725271188376365, 0.1661689950465756, 0.055175467946796494, 0.06047435258008144, 0.19413520365588513, 0.1827728811868179]","[0.004948430086525687, 0.016162762574992436, 0.019026560529620165, 0.035643431201561104, 0.020780899227593568, 0.1827728811868179, 0.9999999999999971]","[True, False, True, True, False]","[True, True, True, False, True, True]",False,False,6.0,-212.16666666666663,229.64443530524895,-666.0,-203.25,-116.5,-90.5,-60.0,5.0,1.2,410.275151575135,-606.0,-87.0,35.0,136.0,528.0,0,0,0,0,0.058648625942551394
botany;climate change;united nations;cold war;dwight d. eisenhower;soviet union;sputnik 1;project vanguard,botany,project vanguard,7,4,1,4,1,2,1,0,6,"[0.08043426350834205, 0.05249798644638274, 0.16241876219014045, 0.11885772914450071, 0.06571264319467539, 0.0807412661633211, 0.4192540408904911]","[0.00973561113630593, 0.03337443834559127, 0.03140919626363567, 0.03320703795081635, 0.021629036989504788, 0.04512154749622763, 0.4192540408904911, 1.0000000000000016]","[False, True, False, False, True, True]","[True, False, True, False, True, True, True]",False,False,7.0,-181.28571428571428,152.6474306866581,-381.0,-318.5,-84.0,-74.0,-19.0,6.0,10.833333333333334,251.03499092092056,-307.0,-193.25,69.0,173.0,307.0,1,0,0,1,0.04751579940172147
"soil profile;soil;egypt;asia;american english;new york city;detroit, michigan;u.s. state",soil profile,"baltimore, maryland",7,4,0,1,3,1,2,1,5,"[0.518030736747198, 0.02479040223115935, 0.0853368634850408, 0.051830781328578296, 0.14401610096395445, 0.18930988125747653, 0.0864695726210904]","[0.009061462219028812, 0.016838139109054455, 0.06412164745426902, 0.04891368585345775, 0.11548531426706263, 0.20057497400858032, 0.0864695726210904, 1.0000000000000016]","[False, True, False, True, True, False]","[True, True, False, True, True, False, True]",False,False,7.0,-233.28571428571428,150.6195143241343,-425.0,-371.5,-164.0,-116.0,-69.0,6.0,-10.333333333333334,232.22718761304984,-329.0,-143.25,-28.5,176.25,261.0,0,0,0,0,0.047516893311912126
religious society of friends;england;irish sea;ice age;glacier;polar ice cap,religious society of friends,polar ice cap,5,4,1,3,0,0,3,0,3,"[0.06273397668565112, 0.08873267839469996, 0.07031295228832443, 0.4387702291332066, 0.31702475415599335]","[0.003521302041179386, 0.014743958954325538, 0.04277906558373137, 0.4930397854699907, 0.31702475415599335, 0.9999999999999988]","[True, False, True, False]","[True, True, True, False, True]",False,False,5.0,-237.6,303.35424836319663,-772.0,-189.0,-97.0,-85.0,-45.0,4.0,181.75,269.54575987514005,12.0,33.0,66.0,214.75,583.0,1,1,0,1,0.07474572794356284
